our_slug,our_genus,our_species,noc_id,category,reference_taxon,reference_published
amphipoea-n-sp,Amphipoea,n sp,,hide_provisional,,
anarta-obesula,Anarta,obesula,93-2836,judgment,Anarta obesula,no
aseptis-sp-no-1,Aseptis,sp No 1,93-2635.1,hide_provisional,,
aseptis-sp-no-3,Aseptis,sp No 3,,hide_provisional,,
aseptis-species,Aseptis,species,,hide_provisional,,
capsula-alameda,Capsula,alameda,93-2440,rename_fix,Globia alameda,yes
capsula-oblonga,Capsula,oblonga,93-2438,rename_fix,Globia oblonga,yes
capsula-subflava,Capsula,subflava,93-2439,rename_fix,Globia subflava,yes
copablepharon-longipenne,Copablepharon,longipenne,93-3268,judgment,Copablepharon longipenne,no
drasteria-nubicola,Drasteria,nubicola,93-0907,rename_fix,Drasteria maculosa,yes
drasteria-sp,Drasteria,sp,,hide_provisional,,
egira-aff-curialis,Egira,aff curialis,,hide_provisional,,
eilema-bicolor,Eilema,bicolor,93-0217,rename_fix,Manulea bicolor,yes
enargia-n-sp,Enargia,n sp,,hide_provisional,,
euxoa-aurantiaca,Euxoa,aurantiaca,,judgment,(no noc match in ref DB),no
euxoa-scandens,Euxoa,scandens,,judgment,(no noc match in ref DB),no
fishia-sp,Fishia,sp,,hide_provisional,,
hadena-circumvadis,Hadena,circumvadis,93-2916,judgment,Hadena circumvadis,no
heliolonche-n-sp,Heliolonche,n sp,,hide_provisional,,
hemileuca-nuteglan,Hemileuca,nuteglan,,judgment,(no noc match in ref DB),no
heterocampa-lunata,Heterocampa,lunata,93-0085,rename_fix,Cecrita lunata,yes
holoarctia-sp,Holoarctia,sp,,hide_provisional,,
idia-nr-americalis,Idia,nr americalis,,hide_provisional,,
lacinipolia-aff-pensilis,Lacinipolia,aff pensilis,,hide_provisional,,
lacinipolia-naevia,Lacinipolia,naevia,93-3029,judgment,Lacinipolia naevia,no
leucania-phragmitidicola,Leucania,phragmitidicola,93-2943,judgment,Leucania phragmitidicola,no
leucania-sp,Leucania,sp,,hide_provisional,,
lycomorpha-grotei,Lycomorpha,grotei,93-0197,judgment,Lycomorpha grotei,no
macrochilo-bivittata,Macrochilo,bivittata,93-0506,judgment,Macrochilo bivittata,no
mniotype-aff-tenera,Mniotype,aff tenera,,hide_provisional,,
mniotype-sp,Mniotype,sp,,hide_provisional,,
oligocentria-pallida,Oligocentria,pallida,93-0107,rename_fix,Ianassa pallida,yes
oligocentria-semirufescens,Oligocentria,semirufescens,93-0105,rename_fix,Oedemasia semirufescens,yes
pseudanarta-sp,Pseudanarta,sp,,hide_provisional,,
pseudeustrotia-carneola,Pseudeustrotia,carneola,93-2205,judgment,Pseudeustrotia carneola,no
resapamea-aff-passer,Resapamea,aff passer,,hide_provisional,,
resapamea-n-sp-nr-innota,Resapamea,n sp nr innota,,hide_provisional,,
saturnia-mendocino,Saturnia,mendocino,MONA 7751,rename_fix,Calosaturnia mendocino,yes
schinia-aff-verna,Schinia,aff verna,,hide_provisional,,
schizura-concinna,Schizura,concinna,93-0103,rename_fix,Oedemasia salicis,yes
schizura-conspecta,Schizura,conspecta,93-0100.1,rename_fix,Coelodasys conspecta,yes
schizura-unicornis,Schizura,unicornis,93-0100,rename_fix,Coelodasys unicornis,yes
sideridis-artesta,Sideridis,artesta,93-2905,judgment,Sideridis artesta,no
speranza-amboflava,Speranza,amboflava,MONA 6284,rename_fix,Macaria amboflava,yes
speranza-andersoni,Speranza,andersoni,MONA 6280,judgment,Speranza andersoni,no
speranza-bitactata,Speranza,bitactata,MONA 6304,rename_fix,Macaria bitactata,yes
speranza-boreata,Speranza,boreata,MONA 6287.1,rename_fix,Macaria boreata,yes
speranza-brunneata,Speranza,brunneata,MONA 6286,rename_fix,Macaria brunneata,yes
speranza-colata,Speranza,colata,MONA 6308,rename_fix,Macaria colata,yes
speranza-decorata,Speranza,decorata,MONA 6306,rename_fix,Macaria decorata,yes
speranza-exauspicata,Speranza,exauspicata,MONA 6292,rename_fix,Macaria exauspicata,yes
speranza-guenearia,Speranza,guenearia,MONA 6301,rename_fix,Macaria guenearia,yes
speranza-helena,Speranza,helena,MONA 6277,rename_fix,Macaria helena,yes
speranza-loricaria,Speranza,loricaria,MONA 6290,rename_fix,Macaria loricaria,yes
speranza-lorquinaria,Speranza,lorquinaria,MONA 6324,rename_fix,Macaria lorquinaria,yes
speranza-occiduaria,Speranza,occiduaria,MONA 6279,rename_fix,Macaria occiduaria,yes
speranza-plumosata,Speranza,plumosata,MONA 6296,rename_fix,Macaria plumosata,yes
speranza-quadrilinearia,Speranza,quadrilinearia,MONA 6288,rename_fix,Macaria quadrilinearia,yes
speranza-simplex,Speranza,simplex,MONA 6281,rename_fix,Macaria simplex,yes
xylophanes-nr-libya,Xylophanes,nr libya,,hide_provisional,,
