checksum,path,bytes,species_slug,accounted_by,note
003CA404E9544DBD6538F9ECEACD5871D57936F275ADAB109FDF30FA1CD1A60D,species-tiles/protorthodes-incincta/C-D_thumbnail.webp,231688,protorthodes-incincta,unaccounted,
003CA404E9544DBD6538F9ECEACD5871D57936F275ADAB109FDF30FA1CD1A60D,species-tiles/trichopolia-incincta/C-D_thumbnail.webp,231688,trichopolia-incincta,tiles,
00D0EC6950DC4EB3F31678E0F5FA2E26001D2B9FE93F6B6948D09CD2FB0AD2B3,species-tiles/protorthodes-incincta/B-V_thumbnail.webp,155238,protorthodes-incincta,unaccounted,
00D0EC6950DC4EB3F31678E0F5FA2E26001D2B9FE93F6B6948D09CD2FB0AD2B3,species-tiles/trichopolia-incincta/B-V_thumbnail.webp,155238,trichopolia-incincta,tiles,
0C022D6FF35AA592B9B2640C5C35A5617BEBCD7314C43C4665BBA6E8448FB6FC,key-images/Blue copy.webp,22712,,unaccounted,
0C022D6FF35AA592B9B2640C5C35A5617BEBCD7314C43C4665BBA6E8448FB6FC,key-images/Blue.webp,22712,,key-image,
2E839AA7F85D353E8D1A0C52A7F521F8E31C2EB26A0C3A3CAE637B5323EAC8A8,xestia-c-nigrum/Xestia c-nigrum-A-v.jpg,128523,xestia-c-nigrum,photo,
2E839AA7F85D353E8D1A0C52A7F521F8E31C2EB26A0C3A3CAE637B5323EAC8A8,xestia-c/Xestia c-nigrum-A-v.jpg,128523,xestia-c,unaccounted,
3DB37BC962C28BFFD932A04D6EB91531BF4CDF79C2AF392677DE87007057F6FE,species-tiles/sympistis-chionanthi/A-V_thumbnail.webp,139884,sympistis-chionanthi,tiles,
3DB37BC962C28BFFD932A04D6EB91531BF4CDF79C2AF392677DE87007057F6FE,species-tiles/sympistis-chionanti/A-V_thumbnail.webp,139884,sympistis-chionanti,unaccounted,
43D5751DB86C837133F8B540FFBF66745A16BD06590544A3C31384C498448F0B,species-tiles/protorthodes-curtica/B-D_thumbnail.webp,178436,protorthodes-curtica,unaccounted,
43D5751DB86C837133F8B540FFBF66745A16BD06590544A3C31384C498448F0B,species-tiles/trichopolia-curtica/B-D_thumbnail.webp,178436,trichopolia-curtica,tiles,
45A552BF3FAA2A4BCA60170AD050BB2EBBAE9BC41CBC83F27D30E84ACE483C39,species-tiles/protorthodes-oviduca/A-V_thumbnail.webp,137120,protorthodes-oviduca,unaccounted,
45A552BF3FAA2A4BCA60170AD050BB2EBBAE9BC41CBC83F27D30E84ACE483C39,species-tiles/trichopolia-oviduca/A-V_thumbnail.webp,137120,trichopolia-oviduca,tiles,
4BDB1D86752428B23543B81AE3E4D211B6382F3B5F844B46653F900353894BBD,species-tiles/protorthodes-alfkenii/A-D_thumbnail.webp,177270,protorthodes-alfkenii,unaccounted,
4BDB1D86752428B23543B81AE3E4D211B6382F3B5F844B46653F900353894BBD,species-tiles/trichopolia-alfkenii/A-D_thumbnail.webp,177270,trichopolia-alfkenii,tiles,
52A63230AB1E908DF6DBE74F4E9ED4567EEA53623714EEAB8D23771BF0392019,key-images/Purple copy.webp,23370,,unaccounted,
52A63230AB1E908DF6DBE74F4E9ED4567EEA53623714EEAB8D23771BF0392019,key-images/Purple.webp,23370,,key-image,
5A4C384BEB12AE5AB54F920912B757CE2F9E007BE8667214775922E176801FCE,species-tiles/protorthodes-alfkenii/A-V_thumbnail.webp,164556,protorthodes-alfkenii,unaccounted,
5A4C384BEB12AE5AB54F920912B757CE2F9E007BE8667214775922E176801FCE,species-tiles/trichopolia-alfkenii/A-V_thumbnail.webp,164556,trichopolia-alfkenii,tiles,
5C71CCAA73E0F1EEDD4B4EC3E7567A57952BCE3861B624AC5F28B9BAFF6FF33B,autographa-v-alba/Autographa v-alba-A-D.jpg,137665,autographa-v-alba,photo,
5C71CCAA73E0F1EEDD4B4EC3E7567A57952BCE3861B624AC5F28B9BAFF6FF33B,autographa-v/Autographa v-alba-A-D.jpg,137665,autographa-v,unaccounted,
63F9900F86FA83963FF38B2BBB8A602F5B5E66F532A78140F079C24E176F5FA4,species-tiles/protorthodes-curtica/A-V_thumbnail.webp,153280,protorthodes-curtica,unaccounted,
63F9900F86FA83963FF38B2BBB8A602F5B5E66F532A78140F079C24E176F5FA4,species-tiles/trichopolia-curtica/A-V_thumbnail.webp,153280,trichopolia-curtica,tiles,
6CC5964AC27EF3E3EA4F7694B517557682B19FBD0A1167DDEB899F91A333E7C7,species-tiles/protorthodes-incincta/C-V_thumbnail.webp,201858,protorthodes-incincta,unaccounted,
6CC5964AC27EF3E3EA4F7694B517557682B19FBD0A1167DDEB899F91A333E7C7,species-tiles/trichopolia-incincta/C-V_thumbnail.webp,201858,trichopolia-incincta,tiles,
6E52B503E17194C931A9B347F971986F2E372A1AA4EAC0574A910ADD6D23C6FE,xestia-c-nigrum/Xestia c-nigrum-B-V.jpg,132590,xestia-c-nigrum,photo,
6E52B503E17194C931A9B347F971986F2E372A1AA4EAC0574A910ADD6D23C6FE,xestia-c/Xestia c-nigrum-B-V.jpg,132590,xestia-c,unaccounted,
745010B5DB3D6402323A91714557BF122AE0C47261862474DD6EDBC4179B0FC2,caripeta -divisata/Caripeta divisata-A-D.jpg,90731,caripeta -divisata,unaccounted,
