path,unit,bytes,species_slug,shape,detail
glossary/Veins_jpg.jpg.7d3d03c7.partial,object,2017073,,glossary-no-row,no row in data/glossary.csv names this image
glossary/body_regions_collar_jpeg.jpg,object,2071524,,glossary-no-row,no row in data/glossary.csv names this image
key-images/Abdomen and thorax distinct.webp,object,43846,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Abdomen striped.webp,object,201770,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Blue Hindwing.webp,object,51042,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Blue copy.webp,object,22712,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Discal spot hindwing present.webp,object,114658,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Eyespot absent forewing.webp,object,86602,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Eyespot absent hindwing.webp,object,96598,,key-image-no-row,no row in data/key-character-images.csv names this image
"key-images/Forewing Discal Spot Present, no.webp",object,337152,,key-image-no-row,no row in data/key-character-images.csv names this image
"key-images/Forewing Discal Spot Present, yes.webp",object,237962,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Forewing Discal Spot Reniform.webp,object,135738,,key-image-no-row,no row in data/key-character-images.csv names this image
"key-images/Forewing Orbicular Spot Present, yes.webp",object,238584,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Forewing Orbicular Spot dark outline light filling.webp,object,252588,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Forewing discal spot dark outline light filling.webp,object,103416,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Forewing discal spot light outline dark interior.webp,object,105368,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Forewing discal spot no outline.webp,object,135130,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Forewing discal spot orbicular.webp,object,164496,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Forewing orbicular spot no outline.webp,object,136708,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Forewing veins distinct.webp,object,52308,,key-image-no-row,no row in data/key-character-images.csv names this image
"key-images/Forewing with large spot spanning orbicular and reniform, No.webp",object,248728,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Forewing_length.webp,object,161450,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Hindwing fringe scalloped.webp,object,16714,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Hindwing veins distinct.webp,object,21238,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Light costal stripe present.webp,object,159168,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Patagia somewhat distinct.webp,object,38840,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Pink copy.webp,object,23964,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Puget lowland.webp,object,81626,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Purple copy.webp,object,23370,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Scalloped fringe 2.webp,object,13084,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/Smooth fringe 1.webp,object,20144,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/forewing discal spot absent.webp,object,67196,,key-image-no-row,no row in data/key-character-images.csv names this image
key-images/forewing discal spot present.webp,object,185776,,key-image-no-row,no row in data/key-character-images.csv names this image
"key-images/forewing median line, no.webp",object,244022,,key-image-no-row,no row in data/key-character-images.csv names this image
"key-images/forewing with large spot spanning both orbicular and discal region, no.webp",object,196206,,key-image-no-row,no row in data/key-character-images.csv names this image
"key-images/forewing with large spot spanning both orbicular and discal region, yes.webp",object,162930,,key-image-no-row,no row in data/key-character-images.csv names this image
dasyfidonia-avuncularia/Dasyfidonia avuncularia - A-D.jpg,object,,dasyfidonia-avuncularia,missing-photo,a row in data/images.csv with no object in the zone
dasyfidonia-avuncularia/Dasyfidonia avuncularia - A-V.jpg,object,,dasyfidonia-avuncularia,missing-photo,a row in data/images.csv with no object in the zone
