old_path,superseded_by,reason,retired_on
capsula-alameda/Capsula alameda-A-D.jpg,globia-alameda/Globia alameda-A-D.jpg,Capsula->Globia genus rename (#146),2026-07-19
capsula-alameda/Capsula alameda-A-V.jpg,globia-alameda/Globia alameda-A-V.jpg,Capsula->Globia genus rename (#146),2026-07-19
capsula-alameda/Capsula alameda-B-D.jpg,globia-alameda/Globia alameda-B-D.jpg,Capsula->Globia genus rename (#146),2026-07-19
capsula-alameda/Capsula alameda-B-V.jpg,globia-alameda/Globia alameda-B-V.jpg,Capsula->Globia genus rename (#146),2026-07-19
capsula-oblonga/Capsula oblonga-A-D.jpg,globia-oblonga/Globia oblonga-A-D.jpg,Capsula->Globia genus rename (#146),2026-07-19
capsula-oblonga/Capsula oblonga-A-V.jpg,globia-oblonga/Globia oblonga-A-V.jpg,Capsula->Globia genus rename (#146),2026-07-19
capsula-subflava/Capsula species aff subflava-A-D.jpg,globia-subflava/Globia species aff subflava-A-D.jpg,Capsula->Globia genus rename (#146),2026-07-19
capsula-subflava/Capsula species aff subflava-A-V.jpg,globia-subflava/Globia species aff subflava-A-V.jpg,Capsula->Globia genus rename (#146),2026-07-19
capsula-subflava/Capsula subflava-A-D.jpg,globia-subflava/Globia subflava-A-D.jpg,Capsula->Globia genus rename (#146),2026-07-19
capsula-subflava/Capsula subflava-A-V.jpg,globia-subflava/Globia subflava-A-V.jpg,Capsula->Globia genus rename (#146),2026-07-19
