species_slug,mpg_p_no,matched_via
habrosyne-scripta,850003,exact
pseudothyatira-cymatophoroides,850005,exact
euthyatira-lorata,850007,exact
euthyatira-pudens,850008,exact
euthyatira-semicircularis,850009,exact
ceranemota-improvisa,850010,exact
ceranemota-fasciata,850011,exact
ceranemota-crumbi,850012,exact
ceranemota-tearlei,850014,exact
drepana-arcuata,850019,exact
drepana-bilineata,850020,mona
eudeilinia-herminiata,850021,exact
oreta-rosea,850023,exact
phyllodesma-americana,870003,exact
malacosoma-disstria,870014,exact
malacosoma-constrictum,870015,gender
malacosoma-californicum,870018,gender
tolype-laricis,870024,exact
tolype-distincta,870028,exact
coloradia-doris,890032,exact
coloradia-pandora,890034,exact
hemileuca-nevadensis,890042,exact
hemileuca-juno,890045,exact
hemileuca-eglanterina,890052,exact
hemileuca-nuttalli,890053,exact
hemileuca-hera,890054,exact
calosaturnia-mendocino,890064,exact
antheraea-polyphemus,890070,exact
hyalophora-gloveri,890084,exact
hyalophora-euryalus,890085,exact
agrius-cingulata,890086,exact
manduca-sexta,890090,exact
manduca-quinquemaculata,890091,gender
ceratomia-amyntor,890102,exact
ceratomia-undulosa,890103,exact
sphinx-chersis,890111,exact
sphinx-vashti,890112,exact
sphinx-perelegans,890114,exact
sphinx-poecila,890121,exact
sphinx-luscitiosa,890122,exact
sphinx-drupiferarum,890123,exact
sphinx-dollii,890124,exact
sphinx-sequoiae,890125,exact
smerinthus-jamaicensis,890140,exact
smerinthus-cerisyi,890141,exact
smerinthus-ophthalmica,890142,exact
paonias-excaecatus,890144,gender
paonias-myops,890145,exact
pachysphinx-modesta,890148,exact
pachysphinx-occidentalis,890149,exact
erinnyis-ello,890154,exact
eumorpha-achemon,890184,exact
proserpinus-lucidus,890195,exact
proserpinus-clarkiae,890198,exact
proserpinus-flavofasciata,890199,exact
euproserpinus-wiesti,890204,exact
hemaris-thysbe,890204.3,exact
hemaris-diffinis,890204.5,exact
hemaris-thetis,890204.6,exact
darapsa-choerilus,890208,exact
hyles-euphorbiae,890215,exact
hyles-gallii,890216,exact
hyles-lineata,890217,exact
deilephila-elpenor,890218,exact
xylophanes-nr-libya,,unplaced
callizzia-amorata,91a0002,exact
idaea-dimidiata,91a0079,exact
cladara-limitaria,91a0125,exact
lobophora-nivigerata,91a0127,exact
venusia-pearsalli,91a0145,exact
eupithecia-ravocostaliata,91a0308,exact
epirrita-pulchraria,91a0334,mona
hydria-undulata,91a0342,mona
rheumaptera-hastata,91a0344,exact
triphosa-haesitata,91a0347,exact
dysstroma-citrata,91a0354,exact
dysstroma-sobria,91a0356,exact
dysstroma-truncata,91a0360,exact
dysstroma-brunneata,91a0368,exact
eulithis-destinata,91a0379,exact
eulithis-xylina,91a0382,exact
antepirrhoe-semiatrata,91a0385,exact
ecliptopera-silaceata,91a0388,exact
ceratodalia-gueneata,91a0397,exact
trichodezia-albovittata,91a0398,exact
mesoleuca-gratulata,91a0459,exact
spargania-luctuata,91a0464,exact
anticlea-vasiliata,91a0465,exact
hydriomena-perfracta,91a0476,exact
hydriomena-edenata,91a0479,exact
hydriomena-crokeri,91a0494,exact
hydriomena-furcata,91a0504,exact
stamnodes-topazata,91a0562,exact
stamnoctenis-pearsalli,91a0578,exact
perizoma-curvilinea,91a0583,exact
perizoma-costiguttata,91a0584,exact
archiearis-infans,91a0596,exact
leucobrephos-brephoides,91a0598,exact
nemoria-darwiniata,91a0622,exact
hemithea-aestivaria,91a0673,exact
protitame-virginalis,91a0681,exact
protitame-subalbaria,91a0682,exact
dasyfidonia-avuncularia,91a0685,exact
eumacaria-madopata,91a0691,exact
epelis-truncataria,91a0700,mona
speranza-brunneata,91a0704,mona
speranza-amboflava,91a0708,mona
speranza-boreata,91a0712,mona
speranza-exauspicata,91a0714,mona
speranza-bitactata,91a0720,mona
speranza-decorata,91a0725,mona
speranza-colata,91a0726,mona
speranza-occiduaria,91a0727,mona
speranza-helena,91a0731,mona
speranza-simplex,91a0733,mona
speranza-lorquinaria,91a0734,mona
speranza-loricaria,91a0735,mona
speranza-plumosata,91a0736,mona
speranza-quadrilinearia,91a0738,mona
speranza-guenearia,91a0740,mona
macaria-notata,91a0751,mona
macaria-aemulataria,91a0752,exact
macaria-adonis,91a0760,exact
macaria-sexmaculata,91a0766,exact
macaria-signaria,91a0767,exact
macaria-oweni,91a0770,exact
macaria-marmorata,,unplaced
digrammia-californiaria,91a0774,exact
digrammia-sexpunctata,91a0778,exact
digrammia-delectata,91a0779,exact
digrammia-denticulata,91a0781,exact
digrammia-nubiculata,91a0784,exact
digrammia-curvata,91a0786,exact
digrammia-napensis,91a0792,exact
digrammia-excurvata,91a0794,exact
digrammia-cinereola,91a0796,exact
digrammia-burneyata,91a0797,exact
digrammia-modocata,91a0799,exact
digrammia-muscariata,91a0800,exact
digrammia-extenuata,91a0801,exact
digrammia-rippertaria,91a0807,exact
digrammia-decorata,91a0809,exact
digrammia-subminiata,91a0816,exact
digrammia-neptaria,91a0817,exact
digrammia-irrorata,91a0818,exact
fernaldella-fimetaria,91a0836,mona
anavitrinella-pampinaria,91a0991,exact
protoboarmia-porcelaria,91a0998,exact
melanolophia-imitata,91a1038,exact
hesperumia-sulphuraria,91a1046,exact
neoalcis-californiaria,91a1051,exact
biston-betularia,91a1060,exact
phigalia-plumogeraria,91a1079,exact
drepanulatrix-unicalcararia,91a1092,exact
drepanulatrix-quadraria,91a1095,exact
drepanulatrix-foeminaria,91a1096,exact
drepanulatrix-carnearia,91a1099,exact
drepanulatrix-secundaria,91a1101,exact
alsophila-pometaria,91a1128,exact
campaea-perlata,91a1130,exact
plagodis-phlogosaria,91a1187,exact
metanema-inatomaria,91a1191,exact
euchlaena-johnsonaria,91a1209,exact
euchlaena-madusaria,91a1211,exact
euchlaena-tigrinaria,91a1217,exact
pero-mizon,91a1244,exact
pero-behrensaria,91a1248,exact
phaeoura-mexicanaria,91a1254,exact
gabriola-dyari,91a1279,exact
sicya-macularia,91a1285,exact
sicya-morsicaria,91a1288,exact
somatolophia-ectrapelaria,91a1310,exact
plataea-diva,91a1326,exact
plataea-trilinearia,91a1327,exact
plataea-n-sp,,unplaced
caripeta-divisata,91a1339,exact
caripeta-aequaliaria,91a1341,exact
caripeta-angustiorata,91a1344,exact
nepytia-umbrosaria,91a1386,exact
nepytia-phantasmaria,91a1394,exact
ennomos-alniaria,91a1406,exact
tetracis-cervinaria,91a1411,exact
tetracis-pallulata,91a1414,exact
tetracis-jubararia,91a1416,exact
tetracis-formosa,91a1419,exact
tetracis-pallidata,91a1421,exact
enypia-venata,91a1457,mona
enypia-packardata,91a1459,mona
nematocampa-resistaria,91a1461,exact
clostera-albosigma,930003,exact
clostera-strigosa,930006,exact
clostera-paraphora,930007,exact
clostera-brucei,930008,exact
clostera-multnoma,930008.1,exact
clostera-apicalis,930009,exact
pheosia-californica,930012.1,exact
pheosidea-elegans,930013,exact
notodonta-manitou,930015.1,exact
notodonta-ochreata,930015.2,exact
notodonta-pacifica,930016,exact
notodonta-torva,930017,exact
gluphisia-septentrionis,930019,exact
gluphisia-avimacula,930021,exact
gluphisia-severa,930023,exact
furcula-cinereoides,930025.1,exact
furcula-scolopendrina,930028,exact
furcula-modesta,930029,exact
furcula-gigans,930029.2,exact
datana-californica,930033.1,exact
nadata-gibbosa,930046,exact
nadata-oregonensis,930047,exact
cecrita-lunata,930087.15,exact
schizura-ipomaeae,930098,exact
coelodasys-unicornis,930100,exact
coelodasys-conspecta,930100.1,exact
oedemasia-salicis,930103.1,exact
oedemasia-semirufescens,930105,exact
ianassa-pallida,930107,exact
phryganidia-californica,930138,exact
lymantria-dispar,930141,exact
gynaephora-rossii,930142,exact
dasychira-vagans,930146,exact
