state,legacy_name,stable_id,notes
ID,Ada,US:16001,
ID,Adams,US:16003,
ID,Bannock,US:16005,
ID,Bear Lake,US:16007,
ID,Beaver,US:16029,"Data-entry anomaly: no Beaver County exists in Idaho; record id 178968's coordinates (lat 42.32/lon -111.13) are near Soda Springs, ID; mapped to Caribou County, ID (Soda Springs is the county seat) [VERIFIED: US Census national_county2020.txt]"
ID,Benewah,US:16009,
ID,Bingham,US:16011,
ID,Blaine,US:16013,
ID,Boise,US:16015,
ID,Bonner,US:16017,
ID,Bonneville,US:16019,
ID,Boundary,US:16021,
ID,Butte,US:16023,
ID,Camas,US:16025,
ID,Canyon,US:16027,
ID,Caribou,US:16029,
ID,Cassia,US:16031,
ID,Clark,US:16033,
ID,Clearwater,US:16035,
ID,Custer,US:16037,
ID,Elmore,US:16039,
ID,Franklin,US:16041,
ID,Fremont,US:16043,
ID,Gem,US:16045,
ID,Gooding,US:16047,
ID,Idaho,US:16049,
ID,Jefferson,US:16051,
ID,Jerome,US:16053,
ID,Kootenai,US:16055,
ID,Latah,US:16057,
ID,Lemhi,US:16059,
ID,Lewis,US:16061,
ID,Lincoln,US:16063,
ID,Madison,US:16065,
ID,Minidoka,US:16067,
ID,Nez Perce,US:16069,
ID,Oneida,US:16071,
ID,Owyhee,US:16073,
ID,Payette,US:16075,
ID,Power,US:16077,
ID,Shoshone,US:16079,
ID,Teton,US:16081,
ID,Twin Falls,US:16083,
ID,Valley,US:16085,
ID,Washington,US:16087,
MT,Beaverhead,US:30001,
MT,Big Horn,US:30003,
MT,Blaine,US:30005,
MT,Broadwater,US:30007,
MT,Carbon,US:30009,
MT,Cascade,US:30013,
MT,Chouteau,US:30015,
MT,Fergus,US:30027,
MT,Flathead,US:30029,
MT,Gallatin,US:30031,
MT,Glacier,US:30035,
MT,Granite,US:30039,
MT,Hill,US:30041,
MT,Jefferson,US:30043,
MT,Judith Basin,US:30045,
MT,Lake,US:30047,
MT,Lewis & Clark,US:30049,"Census name is ""Lewis and Clark County""; ampersand normalized for lookup [VERIFIED: US Census national_county2020.txt]"
MT,Lincoln,US:30053,
MT,Madison,US:30057,
MT,Meagher,US:30059,
MT,Mineral,US:30061,
MT,Missoula,US:30063,
MT,Park,US:30067,
