species_slug,filename,specimen,view,cause,detail,cdn_status,displayed_as,filename_name_differs,family,common_name,image_url,species_page_url
amphipoea-keiferi,Amphipoea senilis-B-D.jpg,B,dorsal,hidden-by-tiles,no tile covers specimen B D; tiled: A-D A-V,not-reported-missing,,1,Noctuidae,,https://moths.pnwinsects.org/amphipoea-keiferi/Amphipoea%20senilis-B-D.jpg,https://moths.pnwinsects.org/species/amphipoea-keiferi/
amphipoea-keiferi,Amphipoea senilis-B-V.jpg,B,ventral,hidden-by-tiles,no tile covers specimen B V; tiled: A-D A-V,not-reported-missing,,1,Noctuidae,,https://moths.pnwinsects.org/amphipoea-keiferi/Amphipoea%20senilis-B-V.jpg,https://moths.pnwinsects.org/species/amphipoea-keiferi/
amphipyra-tragopoginis,Proxenus miranda-B-D.jpg,B,dorsal,hidden-by-tiles,no tile covers specimen B D; tiled: A-D A-V,not-reported-missing,,1,Noctuidae,Mouse Moth,https://moths.pnwinsects.org/amphipyra-tragopoginis/Proxenus%20miranda-B-D.jpg,https://moths.pnwinsects.org/species/amphipyra-tragopoginis/
amphipyra-tragopoginis,Proxenus miranda-B-V.jpg,B,ventral,hidden-by-tiles,no tile covers specimen B V; tiled: A-D A-V,not-reported-missing,,1,Noctuidae,Mouse Moth,https://moths.pnwinsects.org/amphipyra-tragopoginis/Proxenus%20miranda-B-V.jpg,https://moths.pnwinsects.org/species/amphipyra-tragopoginis/
apantesis-margo,Grammia margo-C-V.jpg,C,ventral,hidden-by-tiles,no tile covers specimen C V; tiled: A-D A-V,not-reported-missing,,1,Erebidae,,https://moths.pnwinsects.org/apantesis-margo/Grammia%20margo-C-V.jpg,https://moths.pnwinsects.org/species/apantesis-margo/
brachylomia-rectifascia,Brachylomia rectifascia-B-D.jpg,B,dorsal,hidden-by-tiles,no tile covers specimen B D; tiled: A-D A-V,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/brachylomia-rectifascia/Brachylomia%20rectifascia-B-D.jpg,https://moths.pnwinsects.org/species/brachylomia-rectifascia/
brachylomia-rectifascia,Brachylomia rectifascia-B-V.jpg,B,ventral,hidden-by-tiles,no tile covers specimen B V; tiled: A-D A-V,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/brachylomia-rectifascia/Brachylomia%20rectifascia-B-V.jpg,https://moths.pnwinsects.org/species/brachylomia-rectifascia/
euxoa-bifasciata,Euxoa aff simulata-B-D.jpg,B,dorsal,hidden-by-tiles,no tile covers specimen B D; tiled: A-D A-V,not-reported-missing,,1,Noctuidae,,https://moths.pnwinsects.org/euxoa-bifasciata/Euxoa%20aff%20simulata-B-D.jpg,https://moths.pnwinsects.org/species/euxoa-bifasciata/
euxoa-bifasciata,Euxoa aff simulata-B-V.jpg,B,ventral,hidden-by-tiles,no tile covers specimen B V; tiled: A-D A-V,not-reported-missing,,1,Noctuidae,,https://moths.pnwinsects.org/euxoa-bifasciata/Euxoa%20aff%20simulata-B-V.jpg,https://moths.pnwinsects.org/species/euxoa-bifasciata/
lacinipolia-sareta,Lacinipolia vicina-B-D.jpg,B,dorsal,hidden-by-tiles,no tile covers specimen B D; tiled: A-D A-V,not-reported-missing,,1,Noctuidae,,https://moths.pnwinsects.org/lacinipolia-sareta/Lacinipolia%20vicina-B-D.jpg,https://moths.pnwinsects.org/species/lacinipolia-sareta/
lacinipolia-sareta,Lacinipolia vicina-B-V.jpg,B,ventral,hidden-by-tiles,no tile covers specimen B V; tiled: A-D A-V,not-reported-missing,,1,Noctuidae,,https://moths.pnwinsects.org/lacinipolia-sareta/Lacinipolia%20vicina-B-V.jpg,https://moths.pnwinsects.org/species/lacinipolia-sareta/
phyllodesma-americana,Phyllodesma coturnix-C-V.jpg,C,ventral,hidden-by-tiles,no tile covers specimen C V; tiled: A-D A-V B-D B-V,not-reported-missing,,1,Lasiocampidae,Lappet Moth,https://moths.pnwinsects.org/phyllodesma-americana/Phyllodesma%20coturnix-C-V.jpg,https://moths.pnwinsects.org/species/phyllodesma-americana/
scotogramma-ptilodonta,Anarta ptilodonta-A-V.jpg,A,ventral,hidden-by-tiles,no tile covers specimen A V; tiled: C-D C-V,not-reported-missing,,1,Noctuidae,,https://moths.pnwinsects.org/scotogramma-ptilodonta/Anarta%20ptilodonta-A-V.jpg,https://moths.pnwinsects.org/species/scotogramma-ptilodonta/
scotogramma-ptilodonta,Anarta ptilodonta-B-D.jpg,B,dorsal,hidden-by-tiles,no tile covers specimen B D; tiled: C-D C-V,not-reported-missing,,1,Noctuidae,,https://moths.pnwinsects.org/scotogramma-ptilodonta/Anarta%20ptilodonta-B-D.jpg,https://moths.pnwinsects.org/species/scotogramma-ptilodonta/
scotogramma-ptilodonta,Anarta ptilodonta-B-V.jpg,B,ventral,hidden-by-tiles,no tile covers specimen B V; tiled: C-D C-V,not-reported-missing,,1,Noctuidae,,https://moths.pnwinsects.org/scotogramma-ptilodonta/Anarta%20ptilodonta-B-V.jpg,https://moths.pnwinsects.org/species/scotogramma-ptilodonta/
syngrapha-surena,Syngrapha surena-A-V.jpg,A,ventral,hidden-by-tiles,no tile covers specimen A V; tiled: A-D,not-reported-missing,,,Noctuidae,Surena Looper,https://moths.pnwinsects.org/syngrapha-surena/Syngrapha%20surena-A-V.jpg,https://moths.pnwinsects.org/species/syngrapha-surena/
tarache-flavipennis,Tarache flavipennis-B-D.jpg,B,dorsal,hidden-by-tiles,no tile covers specimen B D; tiled: A-D A-V,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/tarache-flavipennis/Tarache%20flavipennis-B-D.jpg,https://moths.pnwinsects.org/species/tarache-flavipennis/
tarache-flavipennis,Tarache flavipennis-B-V.jpg,B,ventral,hidden-by-tiles,no tile covers specimen B V; tiled: A-D A-V,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/tarache-flavipennis/Tarache%20flavipennis-B-V.jpg,https://moths.pnwinsects.org/species/tarache-flavipennis/
tarache-flavipennis,Tarache flavipennis-C-D.jpg,C,dorsal,hidden-by-tiles,no tile covers specimen C D; tiled: A-D A-V,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/tarache-flavipennis/Tarache%20flavipennis-C-D.jpg,https://moths.pnwinsects.org/species/tarache-flavipennis/
tarache-flavipennis,Tarache flavipennis-C-V.jpg,C,ventral,hidden-by-tiles,no tile covers specimen C V; tiled: A-D A-V,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/tarache-flavipennis/Tarache%20flavipennis-C-V.jpg,https://moths.pnwinsects.org/species/tarache-flavipennis/
tarache-toddi,Tarache areli-C-D.jpg,C,dorsal,hidden-by-tiles,no tile covers specimen C D; tiled: A-D A-V,not-reported-missing,,1,Noctuidae,,https://moths.pnwinsects.org/tarache-toddi/Tarache%20areli-C-D.jpg,https://moths.pnwinsects.org/species/tarache-toddi/
tarache-toddi,Tarache areli-C-V.jpg,C,ventral,hidden-by-tiles,no tile covers specimen C V; tiled: A-D A-V,not-reported-missing,,1,Noctuidae,,https://moths.pnwinsects.org/tarache-toddi/Tarache%20areli-C-V.jpg,https://moths.pnwinsects.org/species/tarache-toddi/
trichordestra-liquida,Trichordestra liquida-B-D.jpg,B,dorsal,hidden-by-tiles,no tile covers specimen B D; tiled: A-D A-V,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/trichordestra-liquida/Trichordestra%20liquida-B-D.jpg,https://moths.pnwinsects.org/species/trichordestra-liquida/
trichordestra-liquida,Trichordestra liquida-B-V.jpg,B,ventral,hidden-by-tiles,no tile covers specimen B V; tiled: A-D A-V,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/trichordestra-liquida/Trichordestra%20liquida-B-V.jpg,https://moths.pnwinsects.org/species/trichordestra-liquida/
trudestra-hadeniformis,Anarta hadeniformis-A-V.jpg,A,ventral,hidden-by-tiles,no tile covers specimen A V; tiled: B-D B-V,not-reported-missing,,1,Noctuidae,,https://moths.pnwinsects.org/trudestra-hadeniformis/Anarta%20hadeniformis-A-V.jpg,https://moths.pnwinsects.org/species/trudestra-hadeniformis/
xestia-c-nigrum,Xestia c-nigrum-B-D.jpg,B,dorsal,hidden-by-tiles,no tile covers specimen B D; tiled: A-V,not-reported-missing,,,Noctuidae,Lesser Black-letter Dart Moth,https://moths.pnwinsects.org/xestia-c-nigrum/Xestia%20c-nigrum-B-D.jpg,https://moths.pnwinsects.org/species/xestia-c-nigrum/
xestia-c-nigrum,Xestia c-nigrum-B-V.jpg,B,ventral,hidden-by-tiles,no tile covers specimen B V; tiled: A-V,not-reported-missing,,,Noctuidae,Lesser Black-letter Dart Moth,https://moths.pnwinsects.org/xestia-c-nigrum/Xestia%20c-nigrum-B-V.jpg,https://moths.pnwinsects.org/species/xestia-c-nigrum/
apantesis-margo,Grammia margo-C-D.jpg,C,dorsal,hidden-by-tiles,no tile covers specimen C D; tiled: A-D A-V,not-reported-missing,browse identify similar,1,Erebidae,,https://moths.pnwinsects.org/apantesis-margo/Grammia%20margo-C-D.jpg,https://moths.pnwinsects.org/species/apantesis-margo/
