derived_path,source_path,kind,variant,bytes
derived/abagrotis-apposita/Abagrotis apposita-A-D@320h.webp,abagrotis-apposita/Abagrotis apposita-A-D.jpg,legacy,320h,43216
derived/abagrotis-apposita/Abagrotis apposita-A-D@full.webp,abagrotis-apposita/Abagrotis apposita-A-D.jpg,legacy,full,89512
derived/abagrotis-apposita/Abagrotis apposita-A-V@320h.webp,abagrotis-apposita/Abagrotis apposita-A-V.jpg,legacy,320h,44050
derived/abagrotis-apposita/Abagrotis apposita-A-V@full.webp,abagrotis-apposita/Abagrotis apposita-A-V.jpg,legacy,full,89462
derived/abagrotis-baueri/Abagrotis baueri-A-D@320h.webp,abagrotis-baueri/Abagrotis baueri-A-D.jpg,legacy,320h,41126
derived/abagrotis-baueri/Abagrotis baueri-A-D@full.webp,abagrotis-baueri/Abagrotis baueri-A-D.jpg,legacy,full,83628
derived/abagrotis-baueri/Abagrotis baueri-A-V@320h.webp,abagrotis-baueri/Abagrotis baueri-A-V.jpg,legacy,320h,41344
derived/abagrotis-baueri/Abagrotis baueri-A-V@full.webp,abagrotis-baueri/Abagrotis baueri-A-V.jpg,legacy,full,81258
derived/abagrotis-baueri/Abagrotis baueri-B-D@320h.webp,abagrotis-baueri/Abagrotis baueri-B-D.jpg,legacy,320h,40842
derived/abagrotis-baueri/Abagrotis baueri-B-D@full.webp,abagrotis-baueri/Abagrotis baueri-B-D.jpg,legacy,full,80270
derived/abagrotis-baueri/Abagrotis baueri-B-V@320h.webp,abagrotis-baueri/Abagrotis baueri-B-V.jpg,legacy,320h,41492
derived/abagrotis-baueri/Abagrotis baueri-B-V@full.webp,abagrotis-baueri/Abagrotis baueri-B-V.jpg,legacy,full,82134
derived/abagrotis-brunneipennis/Abagrotis brunneipennis-A-D@320h.webp,abagrotis-brunneipennis/Abagrotis brunneipennis-A-D.jpg,legacy,320h,38970
derived/abagrotis-brunneipennis/Abagrotis brunneipennis-A-D@full.webp,abagrotis-brunneipennis/Abagrotis brunneipennis-A-D.jpg,legacy,full,76552
derived/abagrotis-brunneipennis/Abagrotis brunneipennis-A-V@320h.webp,abagrotis-brunneipennis/Abagrotis brunneipennis-A-V.jpg,legacy,320h,41482
derived/abagrotis-brunneipennis/Abagrotis brunneipennis-A-V@full.webp,abagrotis-brunneipennis/Abagrotis brunneipennis-A-V.jpg,legacy,full,83886
derived/abagrotis-brunneipennis/Abagrotis brunneipennis-B-D@320h.webp,abagrotis-brunneipennis/Abagrotis brunneipennis-B-D.jpg,legacy,320h,40628
derived/abagrotis-brunneipennis/Abagrotis brunneipennis-B-D@full.webp,abagrotis-brunneipennis/Abagrotis brunneipennis-B-D.jpg,legacy,full,82948
derived/abagrotis-brunneipennis/Abagrotis brunneipennis-C-D@320h.webp,abagrotis-brunneipennis/Abagrotis brunneipennis-C-D.jpg,legacy,320h,40140
derived/abagrotis-brunneipennis/Abagrotis brunneipennis-C-D@full.webp,abagrotis-brunneipennis/Abagrotis brunneipennis-C-D.jpg,legacy,full,79352
derived/abagrotis-cupida/Abagrotis cupida-A-D@320h.webp,abagrotis-cupida/Abagrotis cupida-A-D.jpg,legacy,320h,42266
derived/abagrotis-cupida/Abagrotis cupida-A-D@full.webp,abagrotis-cupida/Abagrotis cupida-A-D.jpg,legacy,full,85420
derived/abagrotis-cupida/Abagrotis cupida-A-V@320h.webp,abagrotis-cupida/Abagrotis cupida-A-V.jpg,legacy,320h,43356
derived/abagrotis-cupida/Abagrotis cupida-A-V@full.webp,abagrotis-cupida/Abagrotis cupida-A-V.jpg,legacy,full,87338
derived/abagrotis-cupida/Abagrotis cupida-B-D@320h.webp,abagrotis-cupida/Abagrotis cupida-B-D.jpg,legacy,320h,42252
derived/abagrotis-cupida/Abagrotis cupida-B-D@full.webp,abagrotis-cupida/Abagrotis cupida-B-D.jpg,legacy,full,86902
derived/abagrotis-cupida/Abagrotis cupida-B-V@320h.webp,abagrotis-cupida/Abagrotis cupida-B-V.jpg,legacy,320h,42828
derived/abagrotis-cupida/Abagrotis cupida-B-V@full.webp,abagrotis-cupida/Abagrotis cupida-B-V.jpg,legacy,full,86368
derived/abagrotis-dickeli/Abagrotis dickeli-A-D@320h.webp,abagrotis-dickeli/Abagrotis dickeli-A-D.jpg,legacy,320h,47088
derived/abagrotis-dickeli/Abagrotis dickeli-A-D@full.webp,abagrotis-dickeli/Abagrotis dickeli-A-D.jpg,legacy,full,98974
derived/abagrotis-dickeli/Abagrotis dickeli-A-V@320h.webp,abagrotis-dickeli/Abagrotis dickeli-A-V.jpg,legacy,320h,44862
derived/abagrotis-dickeli/Abagrotis dickeli-A-V@full.webp,abagrotis-dickeli/Abagrotis dickeli-A-V.jpg,legacy,full,91348
derived/abagrotis-discoidalis/Abagrotis discoidalis-A-D@320h.webp,abagrotis-discoidalis/Abagrotis discoidalis-A-D.jpg,legacy,320h,42826
derived/abagrotis-discoidalis/Abagrotis discoidalis-A-D@full.webp,abagrotis-discoidalis/Abagrotis discoidalis-A-D.jpg,legacy,full,86338
derived/abagrotis-discoidalis/Abagrotis discoidalis-A-V@320h.webp,abagrotis-discoidalis/Abagrotis discoidalis-A-V.jpg,legacy,320h,42794
derived/abagrotis-discoidalis/Abagrotis discoidalis-A-V@full.webp,abagrotis-discoidalis/Abagrotis discoidalis-A-V.jpg,legacy,full,85458
derived/abagrotis-dodi/Abagrotis dodi-A-D@320h.webp,abagrotis-dodi/Abagrotis dodi-A-D.jpg,legacy,320h,42102
derived/abagrotis-dodi/Abagrotis dodi-A-D@full.webp,abagrotis-dodi/Abagrotis dodi-A-D.jpg,legacy,full,86054
derived/abagrotis-dodi/Abagrotis dodi-A-V@320h.webp,abagrotis-dodi/Abagrotis dodi-A-V.jpg,legacy,320h,43168
derived/abagrotis-dodi/Abagrotis dodi-A-V@full.webp,abagrotis-dodi/Abagrotis dodi-A-V.jpg,legacy,full,87378
derived/abagrotis-duanca/Abagrotis duanca-A-D@320h.webp,abagrotis-duanca/Abagrotis duanca-A-D.jpg,legacy,320h,42000
derived/abagrotis-duanca/Abagrotis duanca-A-D@full.webp,abagrotis-duanca/Abagrotis duanca-A-D.jpg,legacy,full,84610
derived/abagrotis-duanca/Abagrotis duanca-A-V@320h.webp,abagrotis-duanca/Abagrotis duanca-A-V.jpg,legacy,320h,42152
derived/abagrotis-duanca/Abagrotis duanca-A-V@full.webp,abagrotis-duanca/Abagrotis duanca-A-V.jpg,legacy,full,84236
derived/abagrotis-duanca/Abagrotis duanca-B-D@320h.webp,abagrotis-duanca/Abagrotis duanca-B-D.jpg,legacy,320h,40494
derived/abagrotis-duanca/Abagrotis duanca-B-D@full.webp,abagrotis-duanca/Abagrotis duanca-B-D.jpg,legacy,full,81684
derived/abagrotis-duanca/Abagrotis duanca-B-V@320h.webp,abagrotis-duanca/Abagrotis duanca-B-V.jpg,legacy,320h,42238
derived/abagrotis-duanca/Abagrotis duanca-B-V@full.webp,abagrotis-duanca/Abagrotis duanca-B-V.jpg,legacy,full,86072
derived/abagrotis-erratica/Abagrotis erratica-A-D@320h.webp,abagrotis-erratica/Abagrotis erratica-A-D.jpg,legacy,320h,38678
derived/abagrotis-erratica/Abagrotis erratica-A-D@full.webp,abagrotis-erratica/Abagrotis erratica-A-D.jpg,legacy,full,78172
derived/abagrotis-erratica/Abagrotis erratica-A-V@320h.webp,abagrotis-erratica/Abagrotis erratica-A-V.jpg,legacy,320h,39580
derived/abagrotis-erratica/Abagrotis erratica-A-V@full.webp,abagrotis-erratica/Abagrotis erratica-A-V.jpg,legacy,full,78378
derived/abagrotis-erratica/Abagrotis erratica-B-D@320h.webp,abagrotis-erratica/Abagrotis erratica-B-D.jpg,legacy,320h,41464
derived/abagrotis-erratica/Abagrotis erratica-B-D@full.webp,abagrotis-erratica/Abagrotis erratica-B-D.jpg,legacy,full,85482
derived/abagrotis-erratica/Abagrotis erratica-B-V@320h.webp,abagrotis-erratica/Abagrotis erratica-B-V.jpg,legacy,320h,42680
derived/abagrotis-erratica/Abagrotis erratica-B-V@full.webp,abagrotis-erratica/Abagrotis erratica-B-V.jpg,legacy,full,87148
derived/abagrotis-forbesi/Abagrotis forbesi-A-D@320h.webp,abagrotis-forbesi/Abagrotis forbesi-A-D.jpg,legacy,320h,42580
derived/abagrotis-forbesi/Abagrotis forbesi-A-D@full.webp,abagrotis-forbesi/Abagrotis forbesi-A-D.jpg,legacy,full,87564
derived/abagrotis-forbesi/Abagrotis forbesi-A-V@320h.webp,abagrotis-forbesi/Abagrotis forbesi-A-V.jpg,legacy,320h,43578
derived/abagrotis-forbesi/Abagrotis forbesi-A-V@full.webp,abagrotis-forbesi/Abagrotis forbesi-A-V.jpg,legacy,full,88896
derived/abagrotis-forbesi/Abagrotis forbesi-B-D@320h.webp,abagrotis-forbesi/Abagrotis forbesi-B-D.jpg,legacy,320h,42154
