species_slug,filename,photographer,weight,license,view,specimen,navigational,locality,state,latitude,longitude,elevation_ft,year,month,day,collector,subspecies
abagrotis-apposita,Abagrotis apposita-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Quartz Mt.,WA,47.074,-121.061,5324,2005,7,14,Crabo/Coughlin,
abagrotis-apposita,Abagrotis apposita-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Quartz Mt.,WA,47.074,-121.061,5324,2005,7,14,Crabo/Coughlin,
abagrotis-baueri,Abagrotis baueri-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,"Chuckanut Mt., W slope",WA,48.68,-122.48,958,1995,8,10,L. G. Crabo,
abagrotis-baueri,Abagrotis baueri-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,"Chuckanut Mt., W slope",WA,48.68,-122.48,958,1995,8,10,L. G. Crabo,
abagrotis-baueri,Abagrotis baueri-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,"Chuckanut Mt., W slope",WA,48.68,-122.48,958,1995,7,23,L. G. Crabo,
abagrotis-baueri,Abagrotis baueri-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,"Chuckanut Mt., W slope",WA,48.68,-122.48,958,1995,7,23,L. G. Crabo,
abagrotis-brunneipennis,Abagrotis brunneipennis-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Kirby Flat Rd.,BC,50.53,-121.71,3546,2002,7,12,L. & E. Crabo,
abagrotis-brunneipennis,Abagrotis brunneipennis-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Kirby Flat Rd.,BC,50.53,-121.71,3546,2002,7,12,L. & E. Crabo,
abagrotis-brunneipennis,Abagrotis brunneipennis-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,Herron Cr. Rd.,WA,48.71,-118.59,4092,1998,7,16,L. & A. Crabo,
abagrotis-brunneipennis,Abagrotis brunneipennis-C-D.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,dorsal,C,,Kirby Flat Rd.,BC,50.53,-121.71,3546,2005,8,5,L. G. Crabo,
abagrotis-cupida,Abagrotis cupida-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Pakenham alvar,ON,45.33,-76.24,,2004,7,12,J. Troubridge,
abagrotis-cupida,Abagrotis cupida-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Pakenham alvar,ON,45.33,-76.24,,2004,7,12,J. Troubridge,
abagrotis-cupida,Abagrotis-cupida-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,,,,,,,,,,
abagrotis-cupida,Abagrotis-cupida-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,,,,,,,,,,
abagrotis-dickeli,Abagrotis dickeli-A-D.jpg,"Canadian National Collection (Jocelyn Gill, photographer)",1,CC BY-NC-SA 4.0,dorsal,A,,"Radium State Wildlife area, Co Rd 11 & Blacktail Cr",CO,39,-106,,1993,8,24,TS Dickel,
abagrotis-dickeli,Abagrotis dickeli-A-V.jpg,"Canadian National Collection (Jocelyn Gill, photographer)",2,CC BY-NC-SA 4.0,ventral,A,,"Radium State Wildlife area, Co Rd 11 & Blacktail Cr",CO,39,-106,,1993,8,24,TS Dickel,
