char_id,image_filename,alt_text
5,US_Coast Range.webp,
6,US_Willamette Valley.webp,
7,US_Puget lowland.webp,
8,US_Eastern Cascades and foothills.webp,
9,US_Columbia Plateau.webp,
10,US_Northern Rockies.webp,
11,US_BlueMts.webp,
12,US_Olympic Highlands.webp,
13,US_North Cascades.webp,
14,US_Cascades.webp,
15,US_Columbia Plateau.webp,
16,US_Northern Rockies.webp,
17,US_BlueMts.webp,
18,US_Northern Basin and Range.webp,
19,US_Snake river plain.webp,
20,US_Idaho Batholith.webp,
21,US_Middle Rockies.webp,
22,US_Wyoming Basin.webp,
23,US_Wasatch and Uinta Mts.webp,
24,US_Central Basin and Range.webp,
25,US_Coast Range.webp,
26,US_Willamette Valley.webp,
27,US_Eastern Cascades and foothills.webp,
28,US_Columbia Plateau.webp,
29,US_BlueMts.webp,
30,US_Cascades.webp,
31,US_KlamathMts CaHigh North Coast Range.webp,
32,US_Northern Basin and Range.webp,
33,US_Snake river plain.webp,
34,US_Northern Rockies.webp,
35,US_Idaho Batholith.webp,
36,US_Middle Rockies.webp,
37,US_Canadian Rockies.webp,
38,US_Wyoming Basin.webp,
41,Ecoprovince_Georgia_depression.webp,
42,Ecoprovince_Coast_and_Mts.webp,
43,Ecoprovince_SInterior.webp,
44,Ecoprovince_SInteriorMts.webp,
45,Ecoprovince_CInterior.webp,
46,Ecoprovince_Sub_Boreal_interior.webp,
47,Ecoprovince_Boreal_Plains.webp,
48,Ecoprovince_Taiga_plains.webp,
49,Ecoprovince_NBoreal_Mts.webp,
98,Scalloped fringe 1.webp,
99,FW irregular margin YES.webp,
100,Smooth fring 2.webp,
101,Hindwing fringe scalloped 2.webp,
102,HW with irregular margin YES.webp,
103,Hindwing fringe smooth.webp,
104,"Hooked Wing Tip, Yes.webp",
105,"Hooked Wing Tip, no.webp",
106,Relative hindwing size small.webp,
107,Relative hindwing size similar.webp,
108,Relative hindwing size Larger.webp,
109,Black Forewing.webp,
110,White Forewing.webp,
111,Grey Forewing.webp,
112,Brown Forewing.webp,
113,Tan Forewing.webp,
114,Yellow Forewing.webp,
115,Orange Forewing.webp,
116,Red Forewing.webp,
117,Pink Forewing.webp,
118,Purple Forewing.webp,
119,Blue Forewing.webp,
120,Green Forewing.webp,
121,Transparent Forewing.webp,
123,Black.webp,
124,White.webp,
125,Grey.webp,
126,Brown.webp,
127,Tan.webp,
128,Yellow.webp,
129,Orange.webp,
130,Red.webp,
131,Pink.webp,
132,Purple.webp,
133,Blue.webp,
134,Green.webp,
135,Transparent.webp,
136,"Forewing Stigma, Yes.webp",
137,"Forewing stigma, no.webp",
138,"Forewing stigma very large, Yes.webp",
139,"Forewing stigma very large, no.webp",
140,Forewing Stigma Divided.webp,
