species_slug,latitude,longitude,year,outcome,county_before,county_after,district_id_after,notes
malacosoma-disstria,49.2,-119.816,1972,filled,Okanagan-Similkameen,Okanagan-Similkameen,CA:5907,
malacosoma-disstria,51.932,-114.035,,no_match,,,,no reference DB row matched the core key
feltia-jaculifera,46.324,-117.971,1955,filled,Columbia,Columbia,US:53013,
malacosoma-disstria,52.466,-114.051,,no_match,,,,no reference DB row matched the core key
malacosoma-disstria,49.026,-113.685,2005,no_match,,,,no reference DB row matched the core key
agrotis-vancouverensis,49.117,-116.163,1990,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,44.18,-118.767,2013,filled,Grant,Grant,US:41023,
agrotis-vancouverensis,49.1,-116.45,1988,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,47.596,-120.66,1969,filled,Chelan,Chelan,US:53007,
feltia-jaculifera,46.324,-117.971,1955,filled,Columbia,Columbia,US:53013,
agrotis-vancouverensis,49.1,-116.45,1991,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,45.34,-123.992,1992,filled,Tillamook,Tillamook,US:41057,
agrotis-vancouverensis,49.117,-116.163,1992,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,42.599,-114.759,1961,filled,Twin Falls,Twin Falls,US:16083,
agrotis-vancouverensis,49.1,-116.45,1987,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,42.599,-114.759,1960,filled,Twin Falls,Twin Falls,US:16083,
callizzia-amorata,48.907,-118.141,2010,filled,Stevens,Stevens,US:53065,
agrotis-vancouverensis,49.1,-116.45,1987,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,50.5,-119.833,1989,filled,Thompson-Nicola,Thompson-Nicola,CA:5933,
andropolia-diversilineata,42.659,-121.876,2009,filled,Klamath,Klamath,US:41035,
feltia-jaculifera,51.583,-119.716,,filled,Thompson-Nicola,Thompson-Nicola,CA:5933,
agrotis-vancouverensis,49.1,-116.45,1986,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-vancouverensis,49.1,-116.45,1986,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-vancouverensis,49.1,-116.45,1983,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-vancouverensis,49.1,-116.45,1982,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-vancouverensis,49.1,-116.45,1981,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-vancouverensis,49.1,-116.45,1981,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,53.3,-120.166,1986,filled,Fraser-Fort George,Fraser-Fort George,CA:5953,
feltia-jaculifera,53.917,-122.75,,filled,Fraser-Fort George,Fraser-Fort George,CA:5953,
