P No,New P No,MONA,Genus_Species,Author with Year,Common Name,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Species,MPG URL,Taxonomic Note,Synonymy,P No 2016
010001,,0001,Epimartyria auricrinella,"Walsingham, 1898",Goldcap Moss-eater,Micropterigoidea,Micropterigidae,,,,Epimartyria,auricrinella,https://mothphotographersgroup.msstate.edu/species.php?hodges=1,,"Epimartyria auricrinella Walsingham, 1898",10001
010002,,0001.1,Epimartyria bimaculella,"Davis & Landry, 2012",,Micropterigoidea,Micropterigidae,,,,Epimartyria,bimaculella,https://mothphotographersgroup.msstate.edu/species.php?hodges=1.1,"Epimartyria bimaculella Davis & Landry, 2012, n. sp., ZooKeys, 183: 63; figs 2, 6-7, 11, 32, 81-87.","Epimartyria bimaculella Davis & Landry, 2012",10002
010003,,0002,Epimartyria pardella,"Walsingham, 1880",,Micropterigoidea,Micropterigidae,,,,Epimartyria,pardella,https://mothphotographersgroup.msstate.edu/species.php?hodges=2,,"Epimartyria pardella Walsingham, 1880",10003
070001,,0003,Dyseriocrania griseocapitella,"(Walsingham, 1898)",Chinquapin Leaf-miner,Eriocranioidea,Eriocraniidae,,,,Dyseriocrania,griseocapitella,https://mothphotographersgroup.msstate.edu/species.php?hodges=3,,"Eriocrania griseocapitella Walsingham, 1898
Dyseriocrania auricrinella of authors not Fracker, 1930",70001
070002,,0004,Dyseriocrania auricyanea,"(Walsingham, 1882)",,Eriocranioidea,Eriocraniidae,,,,Dyseriocrania,auricyanea,https://mothphotographersgroup.msstate.edu/species.php?hodges=4,,"Micropteryx auricyanea Walsingham, 1882
Eriocrania cyanosparsella Williams, 1908",70002
070003,,0005,Eriocrania semipurpurella,"(Stephens, 1834)",Purplish Birch-miner,Eriocranioidea,Eriocraniidae,,,,Eriocrania,semipurpurella,https://mothphotographersgroup.msstate.edu/species.php?hodges=5,,"Lampronia semipurpurella Stephens, 1834
Micropteryx amentella Zeller, 1850
Micropteryx inconspicuella Wood, 1890
Eriocrania pacifica Davis, 1978",70003
070004,,0006,Eriocrania breviapex,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Eriocrania,breviapex,https://mothphotographersgroup.msstate.edu/species.php?hodges=6,,"Eriocrania breviapex Davis, 1978",70004
070005,,0007,Eriocraniella aurosparsella,"(Walsingham, 1880)",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,aurosparsella,https://mothphotographersgroup.msstate.edu/species.php?hodges=7,,"Micropteryx aurosparsella Walsingham, 1880",70005
070006,,0008,Eriocraniella xanthocara,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,xanthocara,https://mothphotographersgroup.msstate.edu/species.php?hodges=8,,"Eriocraniella xanthocara Davis, 1978",70006
070007,,0009,Eriocraniella longifurcula,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,longifurcula,https://mothphotographersgroup.msstate.edu/species.php?hodges=9,,"Eriocraniella longifurcula Davis, 1978",70007
070008,,0010,Eriocraniella platyptera,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,platyptera,https://mothphotographersgroup.msstate.edu/species.php?hodges=10,,"Eriocraniella platyptera Davis, 1978",70008
070009,,0011,Eriocraniella variegata,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,variegata,https://mothphotographersgroup.msstate.edu/species.php?hodges=11,,"Eriocraniella variegata Davis, 1978",70009
070010,,0012,Eriocraniella trigona,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,trigona,https://mothphotographersgroup.msstate.edu/species.php?hodges=12,,"Eriocraniella trigona Davis, 1978",70010
070011,,0013,Eriocraniella falcata,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,falcata,https://mothphotographersgroup.msstate.edu/species.php?hodges=13,,"Eriocraniella falcata Davis, 1978",70011
070012,,0013.1,Eriocraniella mediabulla,"Davis & Faeth, 1986",,Eriocranioidea,Eriocraniidae,,,,Eriocraniella,mediabulla,https://mothphotographersgroup.msstate.edu/species.php?hodges=13.1,,"Eriocraniella mediabulla Davis & Faeth, 1986",70012
070013,,0014,Neocrania bifasciata,"Davis, 1978",,Eriocranioidea,Eriocraniidae,,,,Neocrania,bifasciata,https://mothphotographersgroup.msstate.edu/species.php?hodges=14,,"Neocrania bifasciata Davis, 1978",70013
09a0001,,0015,Acanthopteroctetes tripunctata,"Braun, 1921",,Neopseustoidea,Acanthopteroctetidae,,,,Acanthopteroctetes,tripunctata,https://mothphotographersgroup.msstate.edu/species.php?hodges=15,,"Acanthopteroctetes tripunctata Braun, 1921
Acanthopteroctetes tripunctella Davis, 1969",130001
09a0002,,0016,Acanthopteroctetes bimaculata,"Davis, 1969",,Neopseustoidea,Acanthopteroctetidae,,,,Acanthopteroctetes,bimaculata,https://mothphotographersgroup.msstate.edu/species.php?hodges=16,,"Acanthopteroctetes bimaculata Davis, 1969",130002
09a0003,,0017,Acanthopteroctetes unifascia,"Davis, 1978",,Neopseustoidea,Acanthopteroctetidae,,,,Acanthopteroctetes,unifascia,https://mothphotographersgroup.msstate.edu/species.php?hodges=17,,"Acanthopteroctetes unifascia Davis, 1978",130003
