photo_stem,species_slug,specimen,source,note
Amphipoea keiferi-A-D,resapamea-innota,C,#330,"Curator: ""The images with filename Amphipoea keiferi are actually Resapamea innota."" Letter A taken by Resapamea innota-A; C per C-026."
Amphipoea keiferi-A-V,resapamea-innota,C,#330,"Curator: ""The images with filename Amphipoea keiferi are actually Resapamea innota."" Letter A taken by Resapamea innota-A; C per C-026."
Amphipoea senilis-A-D,amphipoea-keiferi,A,#330,"Curator: ""All images with filename Amphipoea senilis are actually Amphipoea keiferi."" A. senilis was this species' name for many years."
Amphipoea senilis-A-V,amphipoea-keiferi,A,#330,"Curator: ""All images with filename Amphipoea senilis are actually Amphipoea keiferi."""
Amphipoea senilis-B-D,amphipoea-keiferi,B,#330,"Curator: ""All images with filename Amphipoea senilis are actually Amphipoea keiferi."""
Amphipoea senilis-B-V,amphipoea-keiferi,B,#330,"Curator: ""All images with filename Amphipoea senilis are actually Amphipoea keiferi."""
Aseptis ethnica-A-D,aseptis-fanatica,B,#330,"Curator: ""Aseptis ethnica-A-D and Aseptis ethnica-A-V are actually Aseptis fanatica."" Letter A taken by Aseptis fannatica-A; B per C-026."
Aseptis ethnica-A-V,aseptis-fanatica,B,#330,"Curator: ""Aseptis ethnica-A-D and Aseptis ethnica-A-V are actually Aseptis fanatica."" Letter A taken by Aseptis fannatica-A; B per C-026."
Enargia fausta-A-D,enargia-infumata,D,#330,"Curator: ""Enargia fausta-A-D and Enargia fausta-A-V are actually Enargia infumata."" Letters A-C taken; D per C-026."
Enargia fausta-A-V,enargia-infumata,D,#330,"Curator: ""Enargia fausta-A-D and Enargia fausta-A-V are actually Enargia infumata."" Letters A-C taken; D per C-026."
Lacinipolia olivacea-D-D,lacinipolia-bucketti,D,#330,"Curator: ""Lacinipolia olivacea-D-D and Lacinopolia olivacia-D-V are actually Lacinipolia bucketti."" Letter D free at target; kept."
Lacinipolia olivacea-D-V,lacinipolia-bucketti,D,#330,"Curator: ""Lacinipolia olivacea-D-D and Lacinopolia olivacia-D-V are actually Lacinipolia bucketti."" Letter D free at target; kept."
Mniotype ducta-A-D,mniotype-tenera,A,#330,"Curator: ""Filenames with ducta are actually tenera and vice versa."" Straight swap; letter A free at target."
Mniotype ducta-A-V,mniotype-tenera,A,#330,"Curator: ""Filenames with ducta are actually tenera and vice versa."" This is the M. tenera ventral the curator asked after; it exists only as a TIFF."
Mniotype tenera-A-D,mniotype-ducta,A,#330,"Curator: ""Filenames with ducta are actually tenera and vice versa."" Straight swap; letter A free at target."
Mniotype tenera-A-V,mniotype-ducta,A,#330,"Curator: ""Filenames with ducta are actually tenera and vice versa."" Straight swap; letter A free at target."
Nycteola frigidana-A-D,nycteola-cinereana,C,#330,"Curator: ""Nycteola frigidana-A-D and Nycteola frigidana-A-V are actually [Nycteola] cinereana."" Written ""Lacinipola cinereana""; no such species — Nycteola cinereana is the congener and what data/images.csv already records. Letters A-B taken; C per C-026."
Nycteola frigidana-A-V,nycteola-cinereana,C,#330,"Curator: ""Nycteola frigidana-A-D and Nycteola frigidana-A-V are actually [Nycteola] cinereana."" Letters A-B taken; C per C-026."
Proxenus miranda-B-D,amphipyra-tragopoginis,B,#330,"Curator: ""Proxenus miranda-B-D and Proxenus miranda-B-V are actually Amphipyra tragopoginis."" Letter B free at target; kept."
Proxenus miranda-B-V,amphipyra-tragopoginis,B,#330,"Curator: ""Proxenus miranda-B-D and Proxenus miranda-B-V are actually Amphipyra tragopoginis."" Letter B free at target; kept."
Resapamea venosa-B-D,resapamea-passer,D,#330,"Curator: ""Resapamea venosa-B-D and Resapamea venosa-B-V are actually Resapamea passer."" Letters A-C taken; D per C-026."
Resapamea venosa-B-V,resapamea-passer,D,#330,"Curator: ""Resapamea venosa-B-D and Resapamea venosa-B-V are actually Resapamea passer."" Letters A-C taken; D per C-026."
Schinia intermontana-A-D,schinia-honesta,C,#330,"Curator: ""Schinia intermontana-A-D and Schinia intermontana-A-D are actually Schinia honesta."" Letters A-B taken; C per C-026."
Schinia intermontana-A-V,schinia-honesta,C,#330,"Curator: ""Schinia intermontana-A-D and Schinia intermontana-A-D are actually Schinia honesta."" The curator wrote -A-D twice; the pair is the dorsal and its ventral."
Smerinthus cerisyi-A-D,smerinthus-ophthalmica,B,#330,"Curator: ""Smerinthus cerisyi-A-D and Smerinthus cerisyi-A-V are actually Smerinthus ophthalmica."" Letter A taken by Smerinthus ophthalmica-A; B per C-026."
Smerinthus cerisyi-A-V,smerinthus-ophthalmica,B,#330,"Curator: ""Smerinthus cerisyi-A-D and Smerinthus cerisyi-A-V are actually Smerinthus ophthalmica."" Letter A taken by Smerinthus ophthalmica-A; B per C-026."
Tarache areli-C-D,tarache-toddi,C,#336,"Curator: ""Tarache areli-C-D and C-V are actually Tarache toddi."" Letter C free at target; kept."
Tarache areli-C-V,tarache-toddi,C,#336,"Curator: ""Tarache areli-C-D and C-V are actually Tarache toddi."" Letter C free at target; kept."
