species_id,species_slug,record_type,latitude,longitude,state,county,locality,elevation_ft,year,month,day,collector,collection,notes
2695,lacinipolia-stenotis,specimen,-117.047,46.339,WA,Asotin,Asotin,,1963,9,15,R. E. Miller,?,Miller cards; Shepard notes
2695,lacinipolia-stenotis,specimen,-119.348,47.605,WA,Grant,Dry Falls,,1945,9,11,E. C. Johnston,CNC,Crabo notes
2695,lacinipolia-stenotis,specimen,-118.352,46.065,WA,Walla Walla,Walla Walla,,1960,9,19,W. C. Cook,CNC,Crabo notes
2695,lacinipolia-stenotis,specimen,-118.904,46.086,WA,Walla Walla,Wallula,,1948,9,21,W. C. Cook,CNC,Crabo notes
2695,lacinipolia-stenotis,specimen,-120.433,46.217,WA,Yakima,Satus Cr.,,1949,9,19,E. C. Johnston,CNC,Crabo notes
1834,xestia-speciosa,photograph,39.75,-105.22,BC,,Golden,1732,2008,7,25,R. or L. Avis photo,,Crabo ID
1900,coenophila-opacifrons,specimen,50.135,50.135,BC,East Kootenay,Engstrom's Pond,3727,2013,8,10,W. D. Nicholson,RBCM,
2695,lacinipolia-stenotis,specimen,-119.55,49.3,BC,Okanagan-Similkameen,"Okanagan Falls, 5kmSE",,1990,9,16,J. Troubridge,CNC,Crabo notes
2695,lacinipolia-stenotis,specimen,-119.549,49.183,BC,Okanagan-Similkameen,Oliver,,1953,9,11,,CNC,Crabo notes
2695,lacinipolia-stenotis,specimen,-119.549,49.183,BC,Okanagan-Similkameen,Oliver,,1953,9,15,,CNC,Crabo notes
2695,lacinipolia-stenotis,specimen,-119.549,49.183,BC,Okanagan-Similkameen,Oliver,,1953,9,18,,CNC,Crabo notes
1772,euxoa-olivalis,specimen,50.693,-109.282,AB,,South Saskatchewan R. @ Hwy.41,2100,1999,7,13,Crabo/Troubridge,WSU,
2274,hemileuca-hera,specimen,41.944,-114.686,ID,Twin Falls,Shoshone Cr.,5125,1987,8,19,D. V. McCorkle,DVM,
1720,apamea-devastator,specimen,46.73,-109.75,MT,Sweet Grass,"Greycliff RS, 2.5mSE",3921,1988,7,24,Crabo/Morrell,WSU,
1443,lasionycta-impingens,specimen,45.05,-109.47,MT,Carbon,Hellroaring Lakes,9980,1988,7,26,Crabo/Morrell,LGCC,
2274,hemileuca-hera,specimen,48.59,-109.231,MT,Blaine,Chinook,2428,1928,9,10,L. A. Klein,WSU,V. L. Calkins coll.
1943,catocala-hermia,specimen,45.732,-107.612,MT,Big Horn,"Hardin,",2906,1950,8,5,R. O. Yeatts,WSU,
1922,acronicta-insita,specimen,45.56,-109.99,MT,Sweet Grass,7 mi N Big Timber,6510,,,,,USNM,
2776,smerinthus-ophthalmica,specimen,45.834,-109.955,MT,Sweet Grass,Big Timber,4095,1981,7,10,H. E. Rice,OSAC,
1593,gnophaela-vermiculata,specimen,45.16,-109.39,MT,Carbon,W Fk Rock Cr,6915,1988,7,25,L. G. Crabo,LGCC,
1720,apamea-devastator,specimen,45.083,-109.783,MT,Carbon,Hellroaring L.,10000,1988,7,25,Crabo/Morrell,WSU,
1726,hemaris-thetis,specimen,45.017,-109.934,MT,Park,Cooke City,7572,1981,7,8,H. E. Rice,OSAC,
2776,smerinthus-ophthalmica,specimen,48.59,-109.231,MT,Blaine,Chinook,2428,1928,9,10,L. A. Klien,WSU,Calkins coll.
2571,polia-purpurissata,specimen,46.73,-109.75,MT,Sweet Grass,"Greycliff RS, 2.5mSE",3921,1988,7,24,Crabo/Morrell,WSU,
1720,apamea-devastator,specimen,45.083,-109.783,MT,Carbon,Hellroaring L.,10000,1988,7,26,Crabo/Morrell,WSU,
2175,lasionycta-leucocycla,specimen,45.05,-109.47,MT,Carbon,Hellroaring Lakes,9980,1988,7,26,Crabo/Morrell,LGCC,
1668,autographa-californica,specimen,45.083,-109.783,MT,Carbon,Hellroaring L.,10000,1988,7,26,Crabo/Morrell,WSU,
1912,chelis-beanii,specimen,45.05,-109.44,MT,Carbon,Hell Roaring Lakes Rd.,8769,1988,7,25,L. G. Crabo,LGCC,
2776,smerinthus-ophthalmica,specimen,48.977,-109.135,MT,Blaine,Hydro,2771,1953,,,Betty Pope,OSAC,
1483,cisseps-fulvicollis,specimen,48.59,-109.231,MT,Blaine,Chinook,2428,1955,7,11,J. R. Anderson,EMUS,
1666,schinia-jaguarina,specimen,45.6,-109.04,MT,Stillwater,"Park City, 7mW",3750,1998,7,5,Chuck Harp,WFBM,
1593,gnophaela-vermiculata,specimen,45.05,-109.44,MT,Carbon,Hell Roaring Lakes Rd.,8769,1988,7,25,L. G. Crabo,LGCC,
1749,apamea-antennata,specimen,45.083,-109.783,MT,Carbon,Hellroaring L.,10000,1988,7,25,Crabo/Morrell,WSU,
1473,apamea-inficita,specimen,45.083,-109.783,MT,Carbon,Hellroaring L.,10000,1988,7,26,Crabo/Morrell,WSU,
1705,acronicta-grisea,specimen,45.56,-109.99,MT,Sweet Grass,7 mi N Big Timber,6510,,,,,USNM,
1473,apamea-inficita,specimen,45.083,-109.783,MT,Carbon,Hellroaring L.,10000,1988,7,25,Crabo/Morrell,WSU,
1964,euxoa-pallipennis,specimen,48.554,-109.679,MT,Hill,Havre,2535,1922,8,19,,WFBM,
1818,euxoa-catenula,specimen,48.554,-109.679,MT,Hill,Havre,2535,1922,8,20,,WFBM,
1464,malacosoma-californicum,literature,45.082,-109.375,MT,Carbon,Richel Lodge,5902,,,,,?,"Stehr & Cook, 1968"
1464,malacosoma-californicum,literature,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,"Stehr & Cook, 1968"
1688,dasychira-grisefacta,specimen,47.55,-109.367,MT,Fergus,Winifred,3242,,,,,OSAC,"em. ex. Ponderosa pine; July 31, 1963"
1705,acronicta-grisea,specimen,45.185,-109.246,MT,Carbon,Red Lodge,5577,,,,,USNM,Schmidt File
1912,chelis-beanii,literature,45.082,-109.375,MT,Carbon,Richel Lodge,5902,1941,8,11,,?,Entomography 3:215
2470,cisthene-barnesii,specimen,46.09,-107.63,MT,Yellowstone,"Custer, 5.5mWSW, I-94",2878,1998,7,2,C. E. Harp,CEH,SS-98
2520,hypoprepia-miniata,specimen,45.6,-109.04,MT,Stillwater,"Park City, 7mW I-90",3750,1998,7,15,Chuck Harp,CEH,
1416,apantesis-parthenice,specimen,45.458,-109.067,MT,Carbon,"Boyd, 2mS",4000,1997,8,12,C. E. Harp,CEH,SS-97
1416,apantesis-parthenice,specimen,45.6,-109.04,MT,Stillwater,"Park City, 7mW I-90",3750,1998,8,28,C. E. Harp,CEH,SS-98
1416,apantesis-parthenice,specimen,45.77,-108.61,MT,Yellowstone,"Billings, W side",3290,1997,8,21,C. E. Harp,CEH,SS-97
1393,apantesis-nevadensis,specimen,45.6,-109.04,MT,Stillwater,"Park City, 7mW I-90",3750,1998,8,28,C. E. Harp,CEH,SS-98
1393,apantesis-nevadensis,specimen,45.77,-108.61,MT,Yellowstone,"Billings, W side",3290,1997,8,29,C. E. Harp,CEH,SS-97
2101,apantesis-williamsii,specimen,45.208,-108.558,MT,Carbon,"Sage Cr. @ SR144, Prior Ms",5500,1996,6,16,C. & C. Harp,CEH,SS-96
2304,apantesis-blakei,specimen,45.77,-108.61,MT,Yellowstone,"Billings, W side",3290,1997,8,21,C. E. Harp,CEH,SS-97
1760,apantesis-ornata,specimen,45.208,-108.558,MT,Carbon,"Sage Cr. @ SR144, Prior Ms",5500,1996,6,16,C. & C. Harp,CEH,SS-96
2510,arctia-plantaginis,specimen,45.214,-108.554,MT,Carbon,Sage Cr. CG,6800,1997,7,7,C. E. Harp,CEH,SS
1376,arctia-virginalis,specimen,45.208,-108.558,MT,Carbon,"Sage Cr. @ SR144, Prior Ms",5500,1997,6,3,C. & C. Harp,CEH,SS-97
1388,spilosoma-vagans,specimen,45.208,-108.558,MT,Carbon,"Sage Cr. @ SR144, Prior Ms",5500,1996,6,16,C. & C. Harp,CEH,SS-96
1388,spilosoma-vagans,specimen,45.214,-108.554,MT,Carbon,Sage Cr. CG,6800,1997,7,7,C. E. Harp,CEH,SS-97
2149,estigmene-acrea,specimen,45.6,-109.04,MT,Stillwater,"Park City, 7mW I-90",3750,1998,7,5,C. E. Harp,CEH,SS-97
2149,estigmene-acrea,specimen,45.76,-109.79,MT,Sweet Grass,"Greycliff, 4mE-Mkr 381 I-90",4500,1998,7,5,Chuck Harp,CEH,
2149,estigmene-acrea,specimen,45.783,-108.501,MT,Yellowstone,"Billings, W - Broadwater Ave. ",3100,1998,6,7,Chuck Harp,CEH,
1978,hypercompe-permaculata,specimen,45.208,-108.558,MT,Carbon,"Sage Cr. @ SR144, Prior Ms",5500,1996,6,16,C. & C. Harp,CEH,SS-96
1978,hypercompe-permaculata,specimen,45.6,-109.04,MT,Stillwater,"Park City, 7mW I-90",3750,1998,7,5,C. E. Harp,CEH,SS-98
2497,pyrrharctia-isabella,specimen,45.44,-109.215,MT,Carbon,Cooney Res. SP,4267,1997,5,31,C. E. Harp,CEH,SS-97
2233,lophocampa-maculata,specimen,45.208,-108.558,MT,Carbon,"Sage Cr. @ SR144, Prior Ms",5500,1996,6,16,C. & C. Harp,CEH,SS-96
1875,cycnia-oregonensis,specimen,45.208,-108.558,MT,Carbon,"Sage Cr. @ SR144, Prior Ms",5500,1996,6,16,C. & C. Harp,CEH,SS-96
2340,ectypia-clio,specimen,46.09,-107.63,MT,Yellowstone,"Custer, 5.5mWSW I-90",2878,1998,8,6,C. E. Harp,CEH,SS-98
1483,cisseps-fulvicollis,specimen,45.6,-109.04,MT,Stillwater,"Park City, 7mW I-90",3750,1998,7,15,Chuck Harp,CEH,
1483,cisseps-fulvicollis,specimen,45.77,-108.61,MT,Yellowstone,"Billings, W side",3290,1997,8,29,C. E. Harp,CEH,SS-97; submitted as C. packardii
1393,apantesis-nevadensis,specimen,48.55,-109.684,MT,Hill,"Havre, Northern MT substation",2535,1922,8,18,?,MSU,
1393,apantesis-nevadensis,specimen,48.55,-109.684,MT,Hill,"Havre, Northern MT substation",2535,1922,9,6,?,MSU,
