row_index,species_slug,latitude,longitude,state,county,outcome,district_id,distance_km,notes
0,malacosoma-disstria,49.2,-119.816,BC,Okanagan-Similkameen,assigned-contained,CA:5907,,
1,malacosoma-disstria,51.932,-114.035,AB,,unassigned,,,
2,feltia-jaculifera,46.324,-117.971,WA,Columbia,assigned-contained,US:53013,,
3,malacosoma-disstria,52.466,-114.051,AB,,unassigned,,,
4,malacosoma-disstria,49.026,-113.685,AB,,unassigned,,,
5,agrotis-vancouverensis,49.117,-116.163,BC,Central Kootenay,assigned-contained,CA:5903,,
6,feltia-jaculifera,44.18,-118.767,OR,Grant,assigned-contained,US:41023,,
7,agrotis-vancouverensis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
8,peridroma-saucia,47.596,-120.66,WA,Chelan,assigned-contained,US:53007,,
9,feltia-jaculifera,46.324,-117.971,WA,Columbia,assigned-contained,US:53013,,
10,agrotis-vancouverensis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
11,peridroma-saucia,45.34,-123.992,OR,Tillamook,assigned-fallback,US:41057,1.609,
12,agrotis-vancouverensis,49.117,-116.163,BC,Central Kootenay,assigned-contained,CA:5903,,
13,feltia-jaculifera,42.599,-114.759,ID,Twin Falls,assigned-contained,US:16083,,
14,agrotis-vancouverensis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
15,feltia-jaculifera,42.599,-114.759,ID,Twin Falls,assigned-contained,US:16083,,
16,callizzia-amorata,48.907,-118.141,WA,Stevens,assigned-contained,US:53065,,
17,agrotis-vancouverensis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
18,feltia-jaculifera,50.5,-119.833,BC,Thompson-Nicola,assigned-contained,CA:5933,,
19,andropolia-diversilineata,42.659,-121.876,OR,Klamath,assigned-contained,US:41035,,
20,feltia-jaculifera,51.583,-119.716,BC,Thompson-Nicola,assigned-contained,CA:5933,,
21,agrotis-vancouverensis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
22,agrotis-vancouverensis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
23,agrotis-vancouverensis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
24,agrotis-vancouverensis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
25,agrotis-vancouverensis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
26,agrotis-vancouverensis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
27,feltia-jaculifera,53.3,-120.166,BC,Fraser-Fort George,assigned-contained,CA:5953,,
28,feltia-jaculifera,53.917,-122.75,BC,Fraser-Fort George,assigned-contained,CA:5953,,
29,agrotis-vancouverensis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
30,agrotis-vancouverensis,50.05,-117.166,BC,Central Kootenay,assigned-contained,CA:5903,,
31,agrotis-vancouverensis,48.472,-123.346,BC,Capital,assigned-contained,CA:5917,,
32,feltia-jaculifera,49.767,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
33,agrotis-vancouverensis,51.817,-121.466,BC,Cariboo,assigned-contained,CA:5941,,
34,agrotis-vancouverensis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
35,feltia-jaculifera,48.983,-123.683,BC,Nanaimo,assigned-fallback,CA:5919,0.044,
36,agrotis-vancouverensis,48.825,-124.233,BC,Capital,assigned-contained,CA:5919,,
37,feltia-jaculifera,49.2,-124.033,BC,Nanaimo,assigned-contained,CA:5921,,
38,agrotis-vancouverensis,48.501,-123.393,BC,Capital,assigned-contained,CA:5917,,
39,agrotis-vancouverensis,50.383,-114.667,AB,,unassigned,,,
40,feltia-jaculifera,49.775,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
41,agrotis-vancouverensis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
42,agrotis-vancouverensis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
43,agrotis-vancouverensis,48.617,-123.417,BC,Capital,assigned-contained,CA:5917,,
44,agrotis-venerabilis,48.482,-118.728,WA,Ferry,assigned-contained,US:53019,,
45,agrotis-venerabilis,47.499,-119.917,WA,Douglas,assigned-contained,US:53017,,
46,agrotis-venerabilis,46.324,-117.971,WA,Columbia,assigned-contained,US:53013,,
47,agrotis-venerabilis,47.499,-119.917,WA,Douglas,assigned-contained,US:53017,,
48,feltia-jaculifera,48.816,-123.613,BC,Cowichan Valley,assigned-contained,CA:5919,,
49,feltia-jaculifera,49.5,-115.766,BC,East Kootenay,assigned-contained,CA:5901,,
50,agrotis-venerabilis,47.499,-119.917,WA,Douglas,assigned-contained,US:53017,,
51,feltia-jaculifera,50.154,-115.817,BC,East Kootenay,assigned-contained,CA:5901,,
52,feltia-jaculifera,48.655,-123.556,BC,Cowichan Valley,assigned-contained,CA:5919,,
53,feltia-jaculifera,48.867,-123.633,BC,Cowichan Valley,assigned-fallback,CA:5919,0.503,
54,feltia-jaculifera,50.7,-119.217,BC,Columbia-Shuswap,assigned-contained,CA:5939,,
55,agrotis-venerabilis,46.324,-117.971,WA,Columbia,assigned-contained,US:53013,,
56,feltia-jaculifera,50.7,-119.217,BC,Columbia-Shuswap,assigned-contained,CA:5939,,
57,feltia-jaculifera,49.533,-117.417,BC,Central Kootenay,assigned-contained,CA:5903,,
58,feltia-jaculifera,49.333,-117.682,BC,Central Kootenay,assigned-contained,CA:5903,,
59,agrotis-venerabilis,49.775,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
60,feltia-jaculifera,49.5,-117.283,BC,Central Kootenay,assigned-contained,CA:5903,,
61,agrotis-venerabilis,49.775,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
