species_slug,record_type,latitude,longitude,state,county,locality,elevation_ft,year,month,day,collector,collection,notes,district_id
malacosoma-disstria,specimen,49.2,-119.816,BC,Okanagan-Similkameen,Keremeos,1350,1972,7,25,C. S. Guppy,JHS,,CA:5907
malacosoma-disstria,literature,51.932,-114.035,AB,,Bowden,3269,,,,,?,"Stehr & Cook, 1968",
feltia-jaculifera,specimen,46.324,-117.971,WA,Columbia,Dayton,1620,1955,8,26,R. E. Miller,JHS,,US:53013
malacosoma-disstria,literature,52.466,-114.051,AB,,Bentley,2982,,,,,?,"Stehr & Cook, 1968",
malacosoma-disstria,specimen,49.026,-113.685,AB,,"Belly R. Cmgd., Waterton NP",4520,2005,7,7,G. G. Anweiler,UA,Strickland website,
agrotis-vancouverensis,specimen,49.117,-116.163,BC,Central Kootenay,Goatfell,2600,1990,5,25,D. W. Knight,JHS,,CA:5903
feltia-jaculifera,specimen,44.18,-118.767,OR,Grant,Parish Cabin CG,4959,2013,8,6,J. & S. Shepard,JHS,,US:41023
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1988,6,27,D. W. Knight,JHS,,CA:5903
peridroma-saucia,specimen,47.596,-120.66,WA,Chelan,Leavenworth,1312,1969,8,27,C. S. Guppy,JHS,,US:53007
feltia-jaculifera,specimen,46.324,-117.971,WA,Columbia,Dayton,1620,1955,8,13,R. E. Miller,JHS,,US:53013
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1991,6,3,D. W. Knight,JHS,,CA:5903
peridroma-saucia,specimen,45.34,-123.992,OR,Tillamook,Cape Lookout SP,,1992,5,15,J. & S. Shepard,JHS,,US:41057
agrotis-vancouverensis,specimen,49.117,-116.163,BC,Central Kootenay,Goatfell,2600,1992,6,20,D. W. Knight,JHS,,CA:5903
feltia-jaculifera,specimen,42.599,-114.759,ID,Twin Falls,Buhl,3500,1961,9,14,R. E. Miller,JHS,,US:16083
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1987,6,3,D. W. Knight,JHS,,CA:5903
feltia-jaculifera,specimen,42.599,-114.759,ID,Twin Falls,Buhl,3500,1960,7,24,R. E. Miller,JHS,,US:16083
callizzia-amorata,specimen,48.907,-118.141,WA,Stevens,Pierre L. CG,2650,2010,7,7,J. & S. Shepard,JHS,,US:53065
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1987,5,31,D. W. Knight,JHS,,CA:5903
feltia-jaculifera,specimen,50.5,-119.833,BC,Thompson-Nicola,Monte L. ,,1989,8,4,J. Shepard,JHS,,CA:5933
andropolia-diversilineata,specimen,42.659,-121.876,OR,Klamath,Klamath Marsh National Wildlife Refuge,4209,2009,8,27,USFWS,OSAC,,US:41035
feltia-jaculifera,specimen,51.583,-119.716,BC,Thompson-Nicola,Vavenby,,,,,,RBCM,,CA:5933
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1986,7,16,D. W. Knight,JHS,,CA:5903
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1986,6,6,D. W. Knight,JHS,,CA:5903
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1983,5,31,D. W. Knight,JHS,,CA:5903
agrotis-vancouverensis,specimen,49.1,-116.45,BC,Central Kootenay,Erickson,2650,1982,6,23,D. W. Knight,JHS,,CA:5903
