species_slug,site,url
abagrotis-apposita,bugguide,https://bugguide.net/node/view/143613
abagrotis-apposita,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11037
abagrotis-baueri,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11028
abagrotis-brunneipennis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11044
abagrotis-cupida,bugguide,https://bugguide.net/node/view/146915
abagrotis-cupida,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11043
abagrotis-dickeli,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11042.1
abagrotis-discoidalis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11035
abagrotis-dodi,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11042
abagrotis-duanca,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11039
abagrotis-erratica,bugguide,https://bugguide.net/node/view/479311
abagrotis-erratica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11013
abagrotis-forbesi,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11029.2
abagrotis-glenni,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11022
abagrotis-hermina,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11030.1
abagrotis-mirabilis,bugguide,https://bugguide.net/node/view/596443
abagrotis-mirabilis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11019
abagrotis-nanalis,bugguide,https://bugguide.net/node/view/572739
abagrotis-nanalis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11038
abagrotis-nefascia,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11024
abagrotis-orbis,bugguide,https://bugguide.net/node/view/434325
abagrotis-orbis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11027
abagrotis-petalama,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11025.1
abagrotis-placida,bugguide,https://bugguide.net/node/view/92472
abagrotis-placida,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11041
abagrotis-pulchrata,bugguide,https://bugguide.net/node/view/657042
abagrotis-pulchrata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11036
abagrotis-reedi,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11040
abagrotis-rubricundis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11020
abagrotis-scopeops,bugguide,https://bugguide.net/node/view/496341
abagrotis-scopeops,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11033
abagrotis-striata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11021
abagrotis-trigona,bugguide,https://bugguide.net/node/view/143612
abagrotis-trigona,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11018
abagrotis-turbulenta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11030
abagrotis-variata,bugguide,https://bugguide.net/node/view/136444
abagrotis-variata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11032
abagrotis-vittifrons,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11016
abrostola-urentis,bugguide,https://bugguide.net/node/view/24501
abrostola-urentis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8881
acerra-normalis,bugguide,https://bugguide.net/node/view/74517
acerra-normalis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10470
acontia-coquillettii,bugguide,https://bugguide.net/node/view/204892
acontia-coquillettii,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9163
acontia-cretata,bugguide,https://bugguide.net/node/view/130445
acontia-cretata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9161
acopa-perpallida,bugguide,https://bugguide.net/node/view/464279
acopa-perpallida,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9826
acronicta-americana,bugguide,https://bugguide.net/node/view/505
acronicta-americana,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9200
acronicta-cyanescens,bugguide,https://bugguide.net/node/view/268167
acronicta-cyanescens,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9205.1
acronicta-fragilis,bugguide,https://bugguide.net/node/view/212064
acronicta-fragilis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9241
acronicta-funeralis,bugguide,https://bugguide.net/node/view/416
acronicta-funeralis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9221
acronicta-grisea,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9212
acronicta-hasta,bugguide,https://bugguide.net/node/view/401
acronicta-hasta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9229
acronicta-impleta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9257
acronicta-impressa,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9261
acronicta-innotata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9207
acronicta-insita,bugguide,https://bugguide.net/node/view/28953
acronicta-insita,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9202
acronicta-insularis,bugguide,https://bugguide.net/node/view/16761
acronicta-insularis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9280
acronicta-lanceolaria,bugguide,https://bugguide.net/node/view/610733
acronicta-lanceolaria,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9274
acronicta-lepusculina,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9205
acronicta-lupini,bugguide,https://bugguide.net/node/view/542026
acronicta-lupini,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9275
acronicta-mansueta,bugguide,https://bugguide.net/node/view/1805986
acronicta-mansueta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9218
acronicta-marmorata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9256
acronicta-oblinita,bugguide,https://bugguide.net/node/view/3223
acronicta-oblinita,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9272
acronicta-perdita,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9268
acronicta-quadrata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9224
acronicta-radcliffei,bugguide,https://bugguide.net/node/view/109369
acronicta-radcliffei,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9209
acronicta-strigulata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9231
acronicta-vulpina,bugguide,https://bugguide.net/node/view/43204
acronicta-vulpina,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9206
actebia-balanitis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10923
actebia-fennica,bugguide,https://bugguide.net/node/view/411620
actebia-fennica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10924
adelphagrotis-carissima,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10991.1
adelphagrotis-indeterminata,bugguide,https://bugguide.net/node/view/89579
adelphagrotis-indeterminata,mpg,https://www.mothphotographersgroup.msstate.edu/species.php?hodges=10991
adelphagrotis-stellaris,bugguide,https://bugguide.net/node/view/143610
adelphagrotis-stellaris,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10989
admetovis-icarus,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10269.1
admetovis-oxymorus,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10269
admetovis-similaris,bugguide,https://bugguide.net/node/view/256066
admetovis-similaris,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10270
afotella-cylindrica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9841
agnorisma-bugrai,bugguide,https://bugguide.net/node/view/239265
agnorisma-bugrai,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10954
agrius-cingulata,bugguide,https://bugguide.net/node/view/3084
agrius-cingulata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=7771
agrochola-lota,bugguide,https://bugguide.net/node/view/1961556
agrochola-lota,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9956
agrochola-pulchella,bugguide,https://bugguide.net/node/view/83558
agrochola-pulchella,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9955
agrochola-purpurea,bugguide,https://bugguide.net/node/view/83559
agrochola-purpurea,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9954
agrotis-antica,bugguide,https://bugguide.net/node/view/606878
agrotis-antica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10660.1
agrotis-daedalus,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10642
agrotis-gravis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10653
agrotis-ipsilon,bugguide,https://bugguide.net/node/view/38914
agrotis-ipsilon,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10663
agrotis-longicornis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10647.1
agrotis-obliqua,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10660
agrotis-orthogonia,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10645
agrotis-ruta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10647
agrotis-vancouverensis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10652
agrotis-venerabilis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10651
agrotis-vetusta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10641
alastria-chico,bugguide,https://bugguide.net/node/view/351260
alastria-chico,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9522.1
alsophila-pometaria,bamona,https://www.butterfliesandmoths.org/species/Alsophila-pometaria
alsophila-pometaria,bugguide,https://bugguide.net/node/view/35918
alsophila-pometaria,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=6258
alypia-langtoni,bugguide,https://bugguide.net/node/view/17520
alypia-langtoni,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9318
alypia-ridingsii,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9319
amphipoea-americana,bugguide,https://bugguide.net/node/view/10644
amphipoea-americana,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9457
amphipoea-interoceanica,bugguide,https://bugguide.net/node/view/10643
amphipoea-interoceanica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9456
amphipoea-keiferi,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9460
amphipoea-lunata,bugguide,https://bugguide.net/node/view/606872
amphipoea-lunata,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9455
amphipoea-pacifica,bugguide,https://bugguide.net/node/view/605488
amphipoea-pacifica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9457.1
amphipyra-brunneoatra,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9641
amphipyra-glabella,bugguide,https://bugguide.net/node/view/45579
amphipyra-glabella,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9640
amphipyra-pyramidoides,bugguide,https://bugguide.net/node/view/13299
amphipyra-pyramidoides,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9638
amphipyra-tragopoginis,bugguide,https://bugguide.net/node/view/13301
amphipyra-tragopoginis,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=9639
anagrapha-falcifera,bugguide,https://bugguide.net/node/view/40184
anagrapha-falcifera,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=8924
anaplectoides-prasina,bugguide,https://bugguide.net/node/view/25450
anaplectoides-prasina,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11000
anaplectoides-pressus,bugguide,https://bugguide.net/node/view/73554
anaplectoides-pressus,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=11001
anarta-alta,bugguide,https://bugguide.net/node/view/657273
anarta-alta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10229
anarta-antica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10258
anarta-columbica,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10228.1
anarta-crotchii,bugguide,https://bugguide.net/node/view/630893
anarta-crotchii,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10233
anarta-decepta,bugguide,https://bugguide.net/node/view/620053
anarta-decepta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10259
anarta-edwardsii,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10255
anarta-farnhami,bugguide,https://bugguide.net/node/view/389851
anarta-farnhami,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10232
anarta-fulgora,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10225
anarta-fusculenta,bugguide,https://bugguide.net/node/view/642236
anarta-fusculenta,mpg,https://mothphotographersgroup.msstate.edu/species.php?hodges=10233.1
