content_hash,dropbox_path,size_bytes,server_modified,filename_raw,binomial_raw,specimen_id,view,binomial_resolved,species_slug,match_bucket,status,last_error
c6a535c45ad132fc3849d74973cef9386643cf6c9e414fe33d1d6ec88d05f57b,/Smerinthus ophthalmica-A-D.tif,32297224,2026-05-20T04:01:29Z,Smerinthus ophthalmica-A-D.tif,smerinthus ophthalmica,A,D,,,genus-only,discovered,
9cd42581e7a72f3181443c2c708698ebf102c35c121ade90782db93d62063f67,/Smerinthus ophthalmica-A-V.tif,30583056,2026-05-20T04:01:33Z,Smerinthus ophthalmica-A-V.tif,smerinthus ophthalmica,A,V,,,genus-only,discovered,
5e3af46a158ab71126c0c020d3431de2ef2d183815ae7cda3f01d5d8efe8f3cd,/Smerinthus ophthalmica-WWUC0000000086-D.tif,155417944,2026-05-20T04:01:43Z,Smerinthus ophthalmica-WWUC0000000086-D.tif,smerinthus ophthalmica,WWUC0000000086,D,,,genus-only,discovered,
f054b08562d06ace38e31a464ccc4fd1b92d74b643f624358ec0aac113e6028e,/Smerinthus ophthalmica-WWUC0000000105-D.tif,161848160,2026-05-20T04:01:56Z,Smerinthus ophthalmica-WWUC0000000105-D.tif,smerinthus ophthalmica,WWUC0000000105,D,,,genus-only,discovered,
dba2112eb08334cbc03e404d64c31c972e693771fae84cc0c63468d485dc8d35,/Smerinthus ophthalmica-WWUC0000000106-D.tif,236336264,2026-05-20T04:02:09Z,Smerinthus ophthalmica-WWUC0000000106-D.tif,smerinthus ophthalmica,WWUC0000000106,D,,,genus-only,discovered,
0985d6ca77ba59e7fe9ced484a04027ecb01c8dda8a1a68db2411091ae5b53f0,/Smerinthus ophthalmica-WWUC0000000108-D.tif,192119440,2026-05-20T04:02:20Z,Smerinthus ophthalmica-WWUC0000000108-D.tif,smerinthus ophthalmica,WWUC0000000108,D,,,genus-only,discovered,
ef56d2a2bd1b4578e000a08942920e1051f541c28c43d93dc9fd2f318335efad,/Smerinthus ophthalmica-WWUC0000000109-D.tif,150785548,2026-05-20T04:02:31Z,Smerinthus ophthalmica-WWUC0000000109-D.tif,smerinthus ophthalmica,WWUC0000000109,D,,,genus-only,discovered,
6058d1f82c83045d09a17a513b79fb26dd1fbd9e863521960d55f18d6db3d8c6,/Smerinthus ophthalmica-WWUC0000000110-D.tif,155841064,2026-05-20T04:02:41Z,Smerinthus ophthalmica-WWUC0000000110-D.tif,smerinthus ophthalmica,WWUC0000000110,D,,,genus-only,discovered,
6d5f879e959c44e963525e9426658baba5d2cefebf2763531745a23e5e7822b3,/Smerinthus ophthalmica-WWUC0000000111-D.tif,129085704,2026-05-20T04:02:49Z,Smerinthus ophthalmica-WWUC0000000111-D.tif,smerinthus ophthalmica,WWUC0000000111,D,,,genus-only,discovered,
d2b98717619357c85c6187b1d98c8bf3cb1aa4eddafd20bb46c80b173ea1ce8a,/Smerinthus ophthalmica-WWUC0000000112-D.tif,151327656,2026-05-20T04:02:59Z,Smerinthus ophthalmica-WWUC0000000112-D.tif,smerinthus ophthalmica,WWUC0000000112,D,,,genus-only,discovered,
89bd9ea6d6dc78cd795e9059d53f158d2ff179539113540d6761085fbcd65a94,/Smerinthus ophthalmica-WWUC0000000113-D.tif,140942480,2026-05-20T04:03:08Z,Smerinthus ophthalmica-WWUC0000000113-D.tif,smerinthus ophthalmica,WWUC0000000113,D,,,genus-only,discovered,
