species_slug,plate_slug
abagrotis-apposita,plate-95-noctuidae-lxvi-noctuinae-noctuini-xx
abagrotis-baueri,plate-96-noctuidae-lxvii-noctuinae-noctuini-xxi
abagrotis-brunneipennis,plate-96-noctuidae-lxvii-noctuinae-noctuini-xxi
abagrotis-cupida,plate-96-noctuidae-lxvii-noctuinae-noctuini-xxi
abagrotis-dickeli,plate-96-noctuidae-lxvii-noctuinae-noctuini-xxi
abagrotis-discoidalis,plate-95-noctuidae-lxvi-noctuinae-noctuini-xx
abagrotis-dodi,plate-96-noctuidae-lxvii-noctuinae-noctuini-xxi
abagrotis-duanca,plate-95-noctuidae-lxvi-noctuinae-noctuini-xx
abagrotis-erratica,plate-95-noctuidae-lxvi-noctuinae-noctuini-xx
abagrotis-forbesi,plate-96-noctuidae-lxvii-noctuinae-noctuini-xxi
abagrotis-glenni,plate-95-noctuidae-lxvi-noctuinae-noctuini-xx
abagrotis-hermina,plate-96-noctuidae-lxvii-noctuinae-noctuini-xxi
abagrotis-mirabilis,plate-95-noctuidae-lxvi-noctuinae-noctuini-xx
abagrotis-nanalis,plate-95-noctuidae-lxvi-noctuinae-noctuini-xx
abagrotis-nefascia,plate-95-noctuidae-lxvi-noctuinae-noctuini-xx
abagrotis-orbis,plate-96-noctuidae-lxvii-noctuinae-noctuini-xxi
abagrotis-petalama,plate-96-noctuidae-lxvii-noctuinae-noctuini-xxi
abagrotis-placida,plate-96-noctuidae-lxvii-noctuinae-noctuini-xxi
abagrotis-pulchrata,plate-95-noctuidae-lxvi-noctuinae-noctuini-xx
abagrotis-reedi,plate-95-noctuidae-lxvi-noctuinae-noctuini-xx
abagrotis-rubricundis,plate-95-noctuidae-lxvi-noctuinae-noctuini-xx
abagrotis-scopeops,plate-96-noctuidae-lxvii-noctuinae-noctuini-xxi
abagrotis-striata,plate-95-noctuidae-lxvi-noctuinae-noctuini-xx
abagrotis-trigona,plate-95-noctuidae-lxvi-noctuinae-noctuini-xx
abagrotis-turbulenta,plate-96-noctuidae-lxvii-noctuinae-noctuini-xxi
abagrotis-variata,plate-96-noctuidae-lxvii-noctuinae-noctuini-xxi
abagrotis-vittifrons,plate-95-noctuidae-lxvi-noctuinae-noctuini-xx
abrostola-urentis,plate-30-euteliidae-etc
acerra-normalis,plate-63-noctuidae-xxxiv-noctuinae-xylenini-ix-and-orthosiini-i
acontia-coquillettii,plate-33-noctuidae-iv-eustrotiinae-and-acontiinae
acontia-cretata,plate-33-noctuidae-iv-eustrotiinae-and-acontiinae
acopa-perpallida,plate-39-noctuidae-x-amphipyrinae-i
acronicta-americana,plate-35-noctuidae-vi-acronictinae-i
acronicta-cyanescens,plate-35-noctuidae-vi-acronictinae-i
acronicta-fragilis,plate-36-noctuidae-vii-acronictinae-ii
acronicta-funeralis,plate-36-noctuidae-vii-acronictinae-ii
acronicta-grisea,plate-35-noctuidae-vi-acronictinae-i
acronicta-hasta,plate-36-noctuidae-vii-acronictinae-ii
acronicta-impleta,plate-36-noctuidae-vii-acronictinae-ii
acronicta-impressa,plate-36-noctuidae-vii-acronictinae-ii
acronicta-innotata,plate-35-noctuidae-vi-acronictinae-i
acronicta-insita,plate-35-noctuidae-vi-acronictinae-i
acronicta-insularis,plate-36-noctuidae-vii-acronictinae-ii
acronicta-lanceolaria,plate-36-noctuidae-vii-acronictinae-ii
acronicta-lepusculina,plate-35-noctuidae-vi-acronictinae-i
acronicta-lupini,plate-36-noctuidae-vii-acronictinae-ii
acronicta-mansueta,plate-36-noctuidae-vii-acronictinae-ii
acronicta-marmorata,plate-36-noctuidae-vii-acronictinae-ii
acronicta-oblinita,plate-36-noctuidae-vii-acronictinae-ii
acronicta-perdita,plate-36-noctuidae-vii-acronictinae-ii
acronicta-quadrata,plate-36-noctuidae-vii-acronictinae-ii
acronicta-radcliffei,plate-35-noctuidae-vi-acronictinae-i
acronicta-strigulata,plate-36-noctuidae-vii-acronictinae-ii
acronicta-vulpina,plate-35-noctuidae-vi-acronictinae-i
actebia-balanitis,plate-76-noctuidae-xlvii-noctuinae-noctuini-i
actebia-fennica,plate-76-noctuidae-xlvii-noctuinae-noctuini-i
adelphagrotis-carissima,plate-94-noctuidae-lxv-noctuinae-noctuini-xix
adelphagrotis-indeterminata,plate-94-noctuidae-lxv-noctuinae-noctuini-xix
adelphagrotis-stellaris,plate-94-noctuidae-lxv-noctuinae-noctuini-xix
admetovis-icarus,plate-69-noctuidae-xl-noctuinae-hadenini-iv
