from_binomial,to_species_slug
Grammia doris,apantesis-doris
Grammia virgo,apantesis-virgo
Grammia parthenice,apantesis-parthenice
Grammia virguncula,apantesis-virguncula
Grammia speciosa,apantesis-speciosa
Grammia nevadensis,apantesis-nevadensis
Grammia quenseli,apantesis-quenseli
Grammia margo,apantesis-margo
Grammia behrii,apantesis-behrii
Grammia williamsii,apantesis-williamsii
Grammia elongata,apantesis-elongata
Grammia blakei,apantesis-blakei
Grammia ornata,apantesis-ornata
Grammia complicata,apantesis-complicata
Grammia edwardsii,apantesis-edwardsii
Grammia eureka,apantesis-eureka
Grammia yukona,apantesis-yukona
