rank,name
family,Geometridae
subfamily,Larentiinae
genus,Anticlea
genus,Mesoleuca
genus,Spargania
genus,Hydriomena
genus,Perizoma
genus,Stamnoctenis
genus,Stamnodes
genus,Antepirrhoe
genus,Eulithis
genus,Ecliptopera
genus,Dysstroma
genus,Ceratodalia
genus,Epirrita
genus,Venusia
genus,Trichodezia
genus,Rheumaptera
genus,Hydria
genus,Triphosa
genus,Eupithecia
genus,Lobophora
genus,Cladara
subfamily,Sterrhinae
genus,Idaea
subfamily,Geometrinae
genus,Nemoria
genus,Hemithea
subfamily,Archiearinae
genus,Archiearis
genus,Leucobrephos
subfamily,Ennominae
genus,Alsophila
genus,Nematocampa
genus,Protitame
genus,Digrammia
genus,Epelis
genus,Eumacaria
genus,Fernaldella
genus,Macaria
genus,Dasyfidonia
genus,Hesperumia
genus,Neoalcis
genus,Anavitrinella
genus,Protoboarmia
genus,Melanolophia
genus,Biston
genus,Phigalia
genus,Drepanulatrix
genus,Euchlaena
genus,Pero
genus,Phaeoura
genus,Gabriola
genus,Campaea
genus,Ennomos
genus,Metanema
genus,Plagodis
genus,Caripeta
genus,Nepytia
genus,Sicya
genus,Plataea
genus,Somatolophia
genus,Tetracis
genus,Enypia
family,Drepanidae
subfamily,Thyatirinae
genus,Habrosyne
genus,Pseudothyatira
genus,Euthyatira
genus,Ceranemota
subfamily,Drepaninae
genus,Drepana
genus,Eudeilinia
genus,Oreta
family,Uraniidae
subfamily,Epipleminae
genus,Callizzia
family,Lasiocampidae
subfamily,Macromphaliinae
genus,Tolype
subfamily,Lasiocampinae
genus,Phyllodesma
genus,Malacosoma
family,Saturniidae
subfamily,Hemileucinae
genus,Hemileuca
genus,Coloradia
subfamily,Saturniinae
genus,Antheraea
genus,Hyalophora
genus,Calosaturnia
family,Sphingidae
subfamily,Sphinginae
genus,Agrius
genus,Manduca
genus,Ceratomia
genus,Sphinx
subfamily,Smerinthinae
genus,Smerinthus
genus,Paonias
genus,Pachysphinx
subfamily,Macroglossinae
genus,Hemaris
genus,Proserpinus
genus,Euproserpinus
genus,Darapsa
genus,Hyles
genus,Deilephila
genus,Erinnyis
genus,Eumorpha
family,Notodontidae
subfamily,Pygaerinae
genus,Clostera
subfamily,Notodontinae
genus,Pheosia
genus,Pheosidea
genus,Notodonta
genus,Gluphisia
genus,Furcula
subfamily,Phalerinae
genus,Datana
genus,Nadata
subfamily,Heterocampinae
genus,Cecrita
genus,Coelodasys
genus,Oedemasia
genus,Ianassa
genus,Schizura
subfamily,Dioptinae
genus,Phryganidia
family,Erebidae
subfamily,Lymantriinae
tribe,Lymantriini
genus,Lymantria
tribe,Orgyiini
genus,Gynaephora
genus,Dasychira
genus,Orgyia
tribe,Leucomini
genus,Leucoma
genus,Euproctis
subfamily,Arctiinae
tribe,Lithosiini
genus,Cisthene
genus,Lycomorpha
genus,Hypoprepia
genus,Bruceia
genus,Clemensia
genus,Manulea
genus,Crambidia
tribe,Arctiini
genus,Chelis
genus,Apantesis
genus,Arctia
genus,Virbia
genus,Spilosoma
genus,Estigmene
genus,Hyphantria
genus,Hypercompe
genus,Arachnis
genus,Phragmatobia
genus,Pyrrharctia
genus,Leptarctia
genus,Dodia
genus,Tyria
genus,Gnophaela
genus,Lophocampa
genus,Pseudohemihyalea
genus,Cycnia
genus,Ectypia
genus,Ctenucha
genus,Cisseps
subfamily,Herminiinae
genus,Idia
genus,Phalaenophana
genus,Zanclognatha
genus,Chytolita
genus,Phalaenostola
genus,Tetanolita
genus,Bleptina
genus,Palthis
subfamily,Hypeninae
genus,Hypena
subfamily,Rivulinae
genus,Rivula
subfamily,Scoliopteryginae
tribe,Scoliopterygini
genus,Scoliopteryx
subfamily,Scolecocampinae
genus,Phobolosia
subfamily,Hypenodinae
genus,Hypenodes
subfamily,Boletobiinae
tribe,Boletobiini
genus,Mycterophora
genus,Metalectra
tribe,Eublemmini
genus,Eublemma
tribe,Phytometrini
genus,Hemeroplanis
genus,Spargaloma
subfamily,Toxocampinae
genus,Lygephila
subfamily,Erebinae
tribe,Thermesiini
genus,Ascalapha
tribe,Catocalini
genus,Catocala
tribe,Melipotini
genus,Cissusa
genus,Litocala
genus,Melipotis
genus,Bulia
genus,Drasteria
tribe,Euclidiini
genus,Caenurgina
genus,Euclidia
tribe,Omopterini
genus,Zale
family,Euteliidae
subfamily,Euteliinae
genus,Marathyssa
family,Nolidae
subfamily,Nolinae
genus,Meganola
genus,Nola
genus,Nycteola
family,Noctuidae
subfamily,Plusiinae
tribe,Abrostolini
genus,Abrostola
tribe,Argyrogrammatini
genus,Trichoplusia
genus,Chrysodeixis
tribe,Plusiini
genus,Rachiplusia
genus,Diachrysia
genus,Euchalcia
genus,Polychrysia
genus,Pseudeva
genus,Eosphoropteryx
genus,Autographa
genus,Megalographa
genus,Syngrapha
genus,Anagrapha
genus,Plusia
subfamily,Eustrotiinae
genus,Deltote
genus,Protodeltote
subfamily,Acontiinae
tribe,Acontiini
genus,Ponometia
genus,Tarache
genus,Acontia
subfamily,Pantheinae
genus,Panthea
genus,Colocasia
subfamily,Raphiinae
genus,Raphia
subfamily,Acronictinae
genus,Acronicta
subfamily,Metoponiinae
genus,Tyta
subfamily,Cuculliinae
genus,Cucullia
genus,Dolocucullia
subfamily,Eriopinae
genus,Callopistria
subfamily,Amphipyrinae
tribe,Amphipyrini
genus,Amphipyra
tribe,Psaphidini
genus,Pseudocopivaleria
genus,Pleromella
genus,Feralia
genus,Triocnemis
genus,Acopa
tribe,Stiriini
genus,Plagiomimicus
genus,Stiria
genus,Neogrotella
genus,Tristyla
genus,Axenus
genus,Annaphila
subfamily,Oncocnemidinae
genus,Catabena
genus,Calophasia
genus,Copanarta
genus,Behrensia
genus,Pleromelloida
genus,Stylopoda
genus,Sympistis
subfamily,Agaristinae
genus,Eudryas
genus,Alypia
genus,Androloma
subfamily,Condicinae
tribe,Condicini
genus,Condica
subfamily,Heliothinae
genus,Microhelia
genus,Heliothodes
genus,Eutricopis
genus,Pyrrhia
genus,Helicoverpa
genus,Chloridea
genus,Heliocheilus
genus,Heliothis
genus,Protoschinia
genus,Schinia
genus,Heliolonche
subfamily,Bryophilinae
genus,Cryphia
subfamily,Noctuinae
tribe,Prodeniini
genus,Spodoptera
tribe,Elaphriini
genus,Elaphria
genus,Galgula
genus,Chytonix
tribe,Caradrinini
genus,Protoperigea
genus,Caradrina
genus,Proxenus
tribe,Actinotiini
genus,Nedra
genus,Alastria
tribe,Phlogophorini
genus,Euplexia
genus,Phlogophora
tribe,Apameini
genus,Apamea
genus,Melanapamea
genus,Lateroligia
genus,Resapamea
genus,Mesapamea
genus,Eremobina
genus,Oligia
genus,Neoligia
genus,Euros
genus,Xylomoia
genus,Photedes
genus,Hypocoena
genus,Benjaminiola
genus,Globia
genus,Macronoctua
genus,Helotropha
genus,Amphipoea
genus,Hydraecia
genus,Papaipema
genus,Selicanis
tribe,Arzamini
genus,Bellura
tribe,Xylenini
genus,Xylena
genus,Lithomoia
genus,Homoglaea
genus,Litholomia
genus,Lithophane
genus,Eupsilia
genus,Eucirroedia
genus,Mesogona
genus,Agrochola
genus,Sunira
genus,Anathix
genus,Xanthia
genus,Hillia
genus,Parastichtis
genus,Aseptis
genus,Paraseptis
genus,Viridiseptis
genus,Epidemas
genus,Brachylomia
genus,Hyppa
