slug,reason
amphipoea-n-sp,Provisional/undescribed morphospecies — no published reference-site factsheet
aseptis-sp-no-1,Provisional/undescribed morphospecies — no published reference-site factsheet
aseptis-sp-no-3,Provisional/undescribed morphospecies — no published reference-site factsheet
aseptis-species,Provisional/undescribed morphospecies — no published reference-site factsheet
drasteria-sp,Provisional/undescribed morphospecies — no published reference-site factsheet
egira-aff-curialis,Provisional/undescribed morphospecies — no published reference-site factsheet
enargia-n-sp,Provisional/undescribed morphospecies — no published reference-site factsheet
fishia-sp,Provisional/undescribed morphospecies — no published reference-site factsheet
heliolonche-n-sp,Provisional/undescribed morphospecies — no published reference-site factsheet
hemileuca-nuteglan,Hybrid population (Hemileuca nuttalli × eglanterina) — not a described species; flagged for removal (#106)
holoarctia-sp,Provisional/undescribed morphospecies — no published reference-site factsheet
idia-nr-americalis,Provisional/undescribed morphospecies — no published reference-site factsheet
lacinipolia-aff-pensilis,Provisional/undescribed morphospecies — no published reference-site factsheet
leucania-sp,Provisional/undescribed morphospecies — no published reference-site factsheet
macrochilo-bivittata,Does not occur in the PNW region — per M. Peterson (#73)
mniotype-aff-tenera,Provisional/undescribed morphospecies — no published reference-site factsheet
mniotype-sp,Provisional/undescribed morphospecies — no published reference-site factsheet
pseudanarta-sp,Provisional/undescribed morphospecies — no published reference-site factsheet
pseudeustrotia-carneola,Does not occur in the PNW region — per M. Peterson (#73)
resapamea-aff-passer,Provisional/undescribed morphospecies — no published reference-site factsheet
resapamea-n-sp-nr-innota,Provisional/undescribed morphospecies — no published reference-site factsheet
schinia-aff-verna,Provisional/undescribed morphospecies — no published reference-site factsheet
xylophanes-nr-libya,Provisional/undescribed morphospecies — no published reference-site factsheet
